Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,Investor Names,CB Rank (Funding Round)
Seed Round - 123makler,https://www.crunchbase.com/funding_round/123makler-seed--db1e56bc,123makler,https://www.crunchbase.com/organization/123makler,Seed,"Berlin, Berlin, Germany, Europe",,,,2016-06-01,Seed,,,,Yes,123makler.de With us you find the perfect broker for your property.,"Commercial Real Estate, Marketplace, Real Estate",,https://www.123makler.de/,,,,,Seed,1,,1,,ProSiebenSat.1 Accelerator,"254,269"
Seed Round - 1aim,https://www.crunchbase.com/funding_round/1aim-gmbh-seed--18a8f03f,1aim,https://www.crunchbase.com/organization/1aim-gmbh,Seed,"Berlin, Berlin, Germany, Europe",2400000,USD,2400000,2016-07-26,Seed,,,,Yes,1aim is redefining buildings by providing businesses with a full-stack platform that optimises and automates building management. ,"Information Services, Information Technology, Software",,https://www.1aim.com,$1M to $10M,5800000,USD,5800000,M&A,3,,1,,Hörmann,"328,612"
Seed Round - 23numbers GmbH,https://www.crunchbase.com/funding_round/23numbers-gmbh-seed--6e21a119,23numbers GmbH,https://www.crunchbase.com/organization/23numbers-gmbh,Seed,"Berlin, Berlin, Germany, Europe",450000,EUR,512702,2016-04-01,Seed,500000,EUR,569669,Yes,Mobile Operator service stack to enable 2 or multiple mobile phonenumbers to be assigned to a mobile phone for privacy protection,"Marketing, Telecommunications",,https://23numbers.net,Less than $1M,450000,EUR,512702,Seed,1,,,,,"317,805"
Seed Round - 2txt – natural language generation,https://www.crunchbase.com/funding_round/2txt-natural-language-generation-gmbh-seed--a9d3f898,2txt – natural language generation,https://www.crunchbase.com/organization/2txt-natural-language-generation-gmbh,Seed,"Berlin, Berlin, Germany, Europe",,,,2016-12-31,Seed,,,,Yes,"SaaS, Natural Language Generation, E-Commerce, Product descriptions, SEO, AI, Machine Learning","Artificial Intelligence (AI), Big Data, E-Commerce, Machine Learning, SaaS, Software",,https://2txt.de/,Less than $1M,,,,Seed,1,,,,,"277,569"
Seed Round - 4scotty,https://www.crunchbase.com/funding_round/4scotty-gmbh-seed--29e7a95d,4scotty,https://www.crunchbase.com/organization/4scotty-gmbh,Seed,"Berlin, Berlin, Germany, Europe",,,,2016-04-01,Seed,,,,Yes,4scotty is a reverse job marketplace for software and IT professionals .,"Human Resources, Information Technology, Internet, Outsourcing, Recruiting, Software",,http://www.4scotty.com,$1M to $10M,,,,M&A,2,Menden Ventures Consulting,1,,Menden Ventures Consulting,"272,043"
Seed Round - 7 Days Booster,https://www.crunchbase.com/funding_round/7-days-booster-seed--48bc425b,7 Days Booster,https://www.crunchbase.com/organization/7-days-booster,Seed,"Berlin, Berlin, Germany, Europe",,,,2016-03-01,Seed,,,,Yes,"7 Days Booster is a unique product offer for hotels, combining on-line distribution, property design, and equipment upgrade services.",Hospitality,,http://7daysbooster.com/,,,,,Seed,1,,,,,"592,161"
Seed Round - 7Mind,https://www.crunchbase.com/funding_round/7mind-seed--d2ed8838,7Mind,https://www.crunchbase.com/organization/7mind,Seed,"Berlin, Berlin, Germany, Europe",,,,2016-09-17,Seed,,,,Yes,"7Mind empowers people and organizations alike to lead healthy, happy and purpose-driven lives.","Apps, Fitness, Health Care, Mobile, Wellness",,https://7mind.de/,$1M to $10M,,,,M&A,1,,1,,EIT Digital Accelerator,"375,086"
Venture Round - 8fit,https://www.crunchbase.com/funding_round/8fit-series-unknown--1f6241e5,8fit,https://www.crunchbase.com/organization/8fit,Venture - Series Unknown,"Berlin, Berlin, Germany, Europe",,,,2016-01-01,,,,,Yes,8fit is a app that helps to build healthy habits for life with simple solutions.,"Apps, Fitness, Health Care, Mobile Apps",,http://8fit.com,$1M to $10M,9843359,USD,9843359,M&A,6,Proxy Ventures,1,,Proxy Ventures,"228,712"
Convertible Note - 99chairs,https://www.crunchbase.com/funding_round/99chairs-convertible-note--cdd9e706,99chairs,https://www.crunchbase.com/organization/99chairs,Convertible Note,"Berlin, Berlin, Germany, Europe",,,,2016-08-19,,,,,No,99chairs offers online interior design solutions for future workspaces.,"E-Commerce, E-Commerce Platforms, Interior Design, Internet",,http://www.99chairs.com/,$1M to $10M,4280000,EUR,4887717,M&A,5,,1,,Constanze Buchheim,"383,421"
Series A - 99chairs,https://www.crunchbase.com/funding_round/99chairs-series-a--f0d4dca5,99chairs,https://www.crunchbase.com/organization/99chairs,Series A,"Berlin, Berlin, Germany, Europe",3500000,EUR,3914822,2016-06-01,Early Stage Venture,,,,Yes,99chairs offers online interior design solutions for future workspaces.,"E-Commerce, E-Commerce Platforms, Interior Design, Internet",,http://www.99chairs.com/,$1M to $10M,4280000,EUR,4887717,M&A,5,,,,,"401,055"
