Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Series B - Seven Senders,https://www.crunchbase.com/funding_round/seven-senders-series-b--bbc6fcdd,Seven Senders,https://www.crunchbase.com/organization/seven-senders,Series B,"Berlin, Berlin, Germany, Europe",16000000,EUR,18047284,2019-06-13,Early Stage Venture,,,,Yes,Seven Senders is a delivery platform that optimizes processes during shipping and provide customers with a unique shopping experience.,"Delivery Service, E-Commerce, Logistics, Shipping, Supply Chain Management",,https://www.sevensenders.com/,$10M to $50M,65798538,USD,65798538,,5,Yttrium,"b2venture, Yttrium",2,1,"12,892"
Venture Round - babelforce,https://www.crunchbase.com/funding_round/babelforce-series-unknown--f38407ba,babelforce,https://www.crunchbase.com/organization/babelforce,Venture - Series Unknown,"Berlin, Berlin, Germany, Europe",,,,2019-02-27,,,,,Yes,babelforce is a global cloud communications platform focussed on no-code integration and automation.,Communications Infrastructure,,https://www.babelforce.com/,$1M to $10M,4000000,EUR,4204821,Early Stage Venture,2,,"EnBW New Ventures, IBB Ventures",2,,"18,731"
Series A - Moonfare,https://www.crunchbase.com/funding_round/moonfare-series-a--7d0b14f1,Moonfare,https://www.crunchbase.com/organization/moonfare,Series A,"Berlin, Berlin, Germany, Europe",,,,2019-08-31,Early Stage Venture,,,,Yes,"Moonfare is a digital platform that provides HNWI, family offices, banks and their advisors access to top-tier private markets investments.","Asset Management, Finance, Financial Services, FinTech, Wealth Management",,http://www.moonfare.com,Less than $1M,175000000,USD,175000000,Late Stage Venture,8,,Flixfounders,1,,"31,321"
Seed Round - DearEmployee,https://www.crunchbase.com/funding_round/dearemployee-seed--0de77195,DearEmployee,https://www.crunchbase.com/organization/dearemployee,Seed,"Berlin, Berlin, Germany, Europe",,,,2019-12-17,Seed,,,,Yes,Workplace Mental Health Platform,"Health Care, Human Resources, Information Technology, Mental Health",,https://www.dearemployee.de/,,,,,Seed,2,HTGF | High-Tech Gruenderfonds,"HTGF | High-Tech Gruenderfonds, Impact51",2,,"33,991"
Non Equity Assistance - biotx.ai,https://www.crunchbase.com/funding_round/biotx-ai-non-equity-assistance--5bd52eda,biotx.ai,https://www.crunchbase.com/organization/biotx-ai,Non-equity Assistance,"Berlin, Berlin, Germany, Europe",,,,2019-06-17,,,,,No,Biotx.ai delivers next-generation biomarkers as a basis for decision support in precision medicine.,"Artificial Intelligence (AI), Biotechnology, Pharmaceutical, Precision Medicine",,http://www.biotx.ai,$1M to $10M,,,,Seed,4,,Creative Destruction Lab (CDL),1,,"31,089"
Venture Round - Smart Steel Technologies,https://www.crunchbase.com/funding_round/smart-steel-technologies-series-unknown--494fdb1e,Smart Steel Technologies,https://www.crunchbase.com/organization/smart-steel-technologies,Venture - Series Unknown,"Berlin, Berlin, Germany, Europe",2100000,EUR,2324732,2019-11-06,,,,,Yes,Smart Steel Technologies is tackling the last efficiency frontier in steel manufacturing through Artificial Intelligence.,"Artificial Intelligence (AI), Information Technology, Machine Learning, Manufacturing, Software",,https://www.smart-steel-technologies.com/,$1M to $10M,2100000,EUR,2324732,,2,LEA Partners,LEA Partners,1,2,"34,944"
Non Equity Assistance - Polyteia,https://www.crunchbase.com/funding_round/polyteia-non-equity-assistance--c86a0ac2,Polyteia,https://www.crunchbase.com/organization/polyteia,Non-equity Assistance,"Berlin, Berlin, Germany, Europe",,,,2019-08-07,,,,,No,Polyteia empowers an effective and accountable government by providing actionable data for decision-making.,"Data Visualization, GovTech, SaaS, Smart Cities",,https://www.polyteia.com/,$1M to $10M,5000000,EUR,5334232,Seed,4,Public,Public,1,,"36,101"
Seed Round - ZNIKLEZ,https://www.crunchbase.com/funding_round/zniklez-seed--529103dc,ZNIKLEZ,https://www.crunchbase.com/organization/zniklez,Seed,"Berlin, Berlin, Germany, Europe",2000,USD,2000,2019-11-20,Seed,,,,Yes,ZNIKLEZ is a platform and software that links artists and their followers.,"E-Commerce Platforms, Software",,http://www.mmfagency.com/zniklez,,2000,USD,2000,Seed,1,FasterCapital,FasterCapital,1,1,"41,895"
Venture Round - OPES Solutions,https://www.crunchbase.com/funding_round/opes-solutions-series-unknown--b3fe8435,OPES Solutions,https://www.crunchbase.com/organization/opes-solutions,Venture - Series Unknown,"Berlin, Berlin, Germany, Europe",,,,2019-05-02,,,,,Yes,OPES Solutions designs and manufactures application solar modules for devices.,"Energy Efficiency, Manufacturing, Renewable Energy, Solar",,https://www.opes-solutions.com,,,,,,1,"KawiSafi Ventures, Quadia","KawiSafi Ventures, Quadia",2,2,"42,454"
Series A - Teraki,https://www.crunchbase.com/funding_round/teraki-series-a--43fcdbfe,Teraki,https://www.crunchbase.com/organization/teraki,Series A,"Berlin, Berlin, Germany, Europe",11000000,USD,11000000,2019-12-17,Early Stage Venture,,,,Yes,"Teraki is a driver for scaling of insurance, maintenance and autonomous driving applications by enabling access to more qualitative data.","Apps, Autonomous Vehicles, Information Technology",,http://www.teraki.com/,$1M to $10M,16096421,USD,16096421,Early Stage Venture,8,Horizons Ventures,"Alumni Ventures, Bright Success Capital, Castor Ventures, Future Energy Ventures, Horizons Ventures, innogy New Ventures LLC, Paladin Capital Group, Rev1 Ventures",8,5,"79,904"
Non Equity Assistance - Remoteplatz,https://www.crunchbase.com/funding_round/remoteplatz-non-equity-assistance--1b1330ff,Remoteplatz,https://www.crunchbase.com/organization/remoteplatz,Non-equity Assistance,"Berlin, Berlin, Germany, Europe",,,,2019-06-01,,,,,No,Enabling startups and smart businesses to scale their tech teams with remote software developers.,"Information Technology, Software, Software Engineering",,https://remoteplatz.com,$1M to $10M,,,,,1,TIEC Incubation,TIEC Incubation,1,,"80,591"
Venture Round - Pitch,https://www.crunchbase.com/funding_round/pitch-5b94-series-unknown--9b91a089,Pitch,https://www.crunchbase.com/organization/pitch-5b94,Venture - Series Unknown,"Berlin, Berlin, Germany, Europe",30000000,USD,30000000,2019-10-01,,,,,Yes,Pitch is collaborative presentation software for modern teams.,"Collaboration, Internet, Presentation Software, SaaS, Software",,https://pitch.com,$1M to $10M,137700711,USD,137700711,Early Stage Venture,4,Thrive Capital,"Amaranthine, Kevin Systrom, Mike Krieger, Rahul Vohra, Tapestry VC, Thrive Capital, Tiny Capital",7,,"83,408"
Seed Round - Mercavus,https://www.crunchbase.com/funding_round/mercavus-seed--c518fa70,Mercavus,https://www.crunchbase.com/organization/mercavus,Seed,"Berlin, Berlin, Germany, Europe",1400000,EUR,1567082,2019-06-01,Seed,,,,Yes,Mercavus is a B2B marketplace connecting local retailers with brands in Europe.,"B2B, Consumer Goods, E-Commerce, Marketplace, Retail",,https://mercavus.com/,$1M to $10M,3400000,EUR,3810875,Seed,2,,"HV Capital, La Famiglia",2,,"87,496"
Seed Round - AICURA medical,https://www.crunchbase.com/funding_round/aicura-medical-seed--f53572ce,AICURA medical,https://www.crunchbase.com/organization/aicura-medical,Seed,"Berlin, Berlin, Germany, Europe",,,,2019-12-01,Seed,,,,Yes,AICURA medical provides a platform and tools that are used to improve and enable personalized medicine innovation.,"Health Care, Medical, Medical Device, Precision Medicine, Software",,https://aicura-medical.com/,Less than $1M,500000,EUR,588166,Seed,3,,,,,"85,021"
Seed Round - Numa,https://www.crunchbase.com/funding_round/cosi-hospitality-seed--ce248c7c,Numa,https://www.crunchbase.com/organization/cosi-hospitality,Seed,"Berlin, Berlin, Germany, Europe",5000000,EUR,5545697,2019-08-21,Seed,,,,Yes,NUMA Group is a digital hospitality platform that provides short and mid-term rentals and travel accommodations.,"Hospitality, Hotel, Rental, Travel, Travel Accommodations",,https://numastays.com,Less than $1M,119440000,EUR,133017790,Late Stage Venture,4,"Cherry Ventures, Headline","Andreas Bremke, Cherry Ventures, Gleb Tritus, Headline, Lions Venture, Loric Ventures, Manuel Stotz, MPGI, Nils Regge",9,3,"86,325"
Pre Seed Round - KUGU,https://www.crunchbase.com/funding_round/kugu-pre-seed--ce0bdbb2,KUGU,https://www.crunchbase.com/organization/kugu,Pre-Seed,"Berlin, Berlin, Germany, Europe",,,,2019-04-05,Seed,,,,Yes,IoT enabled SaaS Platform,"Commercial Real Estate, Real Estate, Software",,https://www.kugu-home.com/home-en/,Less than $1M,8500000,EUR,9017687,Early Stage Venture,3,Agile Accelerator,Agile Accelerator,1,,"92,310"
Seed Round - VlyFoods,https://www.crunchbase.com/funding_round/vlyfoods-seed--9826191d,VlyFoods,https://www.crunchbase.com/organization/vlyfoods,Seed,"Berlin, Berlin, Germany, Europe",1500000,USD,1500000,2019-06-22,Seed,,,,Yes,VlyFoods is a foodtech startup that produces delicious milk alternatives made from pea protein.,"Dairy, Nutrition, Plant-Based Foods",,https://www.vlyfoods.com,$1B to $10B,11064978,USD,11064978,Early Stage Venture,5,,Good Seed Ventures,1,,"86,772"
Series B - Klang Games,https://www.crunchbase.com/funding_round/klang-games-series-b--2bdf3e1d,Klang Games,https://www.crunchbase.com/organization/klang-games,Series B,"Berlin, Berlin, Germany, Europe",22330000,USD,22330000,2019-08-15,Early Stage Venture,,,,Yes,Klang Games is an independent game development studio that develops next generation games.,"Android, Gaming, Information Technology, iOS, PC Games, Product Design, Software",,http://www.klang-games.com/,$10M to $50M,77280000,USD,77280000,Late Stage Venture,6,Novator,"Firstminute Capital, LEGO Ventures, Makers Fund, Neoteny, New Life Ventures, Northzone, Novator",7,2,"94,732"
