Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,Investor Names,CB Rank (Funding Round)
Pre Seed Round - a2zebra,https://www.crunchbase.com/funding_round/a2zebra-pre-seed--3628e93a,a2zebra,https://www.crunchbase.com/organization/a2zebra,Pre-Seed,"Berlin, Berlin, Germany, Europe",500000,USD,500000,2024-04-03,Seed,,,,Yes,a2zebra is a zebra company that specializes in instructional technology for elementary school kids.,"E-Learning, Education",,https://tuktoro.com,,500000,USD,500000,Seed,1,,8,,"Christian Sprinkmeyer, Kai Naujoks, Marcus Stahl, Patric Fassbender, Robert Maier, Roland Fassauer, Saarbruecker 21, Sebastian Heide-Meyer zu Erpen","23,435"
Seed Round - ACE Alternatives,https://www.crunchbase.com/funding_round/ace-alternatives-seed--b99b1546,ACE Alternatives,https://www.crunchbase.com/organization/ace-alternatives,Seed,"Berlin, Berlin, Germany, Europe",,,,2024-06-14,Seed,,,,Yes,"ACE Alternatives, is a tech-driven managed services provider for Alternative Assets; fund admin, compliance, tax, accounting, ESG.","Accounting, Consulting, Financial Services, FinTech, SaaS, Tax Consulting, Venture Capital",,https://www.ace-alternatives.com,,,,,Seed,1,Bob Kneip,1,,Bob Kneip,"22,310"
Seed Round - Agenta,https://www.crunchbase.com/funding_round/agenta-a0bf-seed--a10a4688,Agenta,https://www.crunchbase.com/organization/agenta-a0bf,Seed,"Berlin, Berlin, Germany, Europe",1000000,EUR,1085650,2024-06-01,Seed,,,,Yes,Agenta is the open-source LLMOps platform that allows developers build production ready LLM-powered applications.,"Apps, Artificial Intelligence (AI), Information Technology, Machine Learning, Open Source, Software",,https://agenta.ai,,1100000,EUR,1195205,Seed,2,InReach Ventures,1,,InReach Ventures,"48,069"
Pre Seed Round - Aiden,https://www.crunchbase.com/funding_round/aiden-7278-pre-seed--47c6e8de,Aiden,https://www.crunchbase.com/organization/aiden-7278,Pre-Seed,"Berlin, Berlin, Germany, Europe",100000,EUR,108678,2024-05-16,Seed,,,,Yes,"Aiden uses AI to help property managers enhance customer service and automate requests, guiding them into AI-driven real estate.","Artificial Intelligence (AI), Property Management, Real Estate",,https://hireaiden.com/,,100000,EUR,108678,Seed,1,,1,,Antler,"41,181"
Series B - Aignostics,https://www.crunchbase.com/funding_round/aignostics-series-b--b6931432,Aignostics,https://www.crunchbase.com/organization/aignostics,Series B,"Berlin, Berlin, Germany, Europe",34000000,USD,34000000,2024-10-29,Early Stage Venture,,,,Yes,Aignostics is an AI-powered precision diagnostics focused on pathology to assist with drug development and clinical research.,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Machine Learning, Software",,http://www.aignostics.com,$100M to $500M,54841427,USD,54841427,Early Stage Venture,5,ATHOS,7,1,"ATHOS, Boehringer Ingelheim Venture Fund, Carma Fund, HTGF | High-Tech Gruenderfonds, IBB Ventures, Mayo Clinic, Wellington Partners","5,698"
Convertible Note - AIManager360,https://www.crunchbase.com/funding_round/aimanager360-convertible-note--1f35f30d,AIManager360,https://www.crunchbase.com/organization/aimanager360,Convertible Note,"Berlin, Berlin, Germany, Europe",100000,EUR,108436,2024-04-05,,,,,No,SaaS AI Bussines Intelligence Platform,"Artificial Intelligence (AI), Business Intelligence, Generative AI, Information Technology, Software",,https://www.aimanager360.com,,125000,EUR,135276,,2,,,,,"66,159"
Seed Round - Airteam Aerial Intelligence,https://www.crunchbase.com/funding_round/airteam-seed--ee0d69aa,Airteam Aerial Intelligence,https://www.crunchbase.com/organization/airteam,Seed,"Berlin, Berlin, Germany, Europe",,,,2024-01-29,Seed,,,,Yes,Airteam is an AI-powered software that converts aerial data from drones into CAD models.,"Artificial Intelligence (AI), Construction, Software, Solar",,https://airteam.ai/,$1M to $10M,2300000,EUR,2661026,Seed,5,,,,,"198,870"
Pre Seed Round - ai|coustics,https://www.crunchbase.com/funding_round/ai-coustics-pre-seed--69118534,ai|coustics,https://www.crunchbase.com/organization/ai-coustics,Pre-Seed,"Berlin, Berlin, Germany, Europe",1650000,EUR,1788114,2024-03-25,Seed,,,,Yes,ai|coustics is pioneering innovative audio algorithms based on AI and Deep Learning models.,"Artificial Intelligence (AI), Audio",,https://ai-coustics.com,,1895000,EUR,2043627,Seed,2,Connect Ventures,4,,"Connect Ventures, FOV Ventures, Inovia Capital, Michael Schmitt","15,292"
Seed Round - Akhetonics,https://www.crunchbase.com/funding_round/akhetonics-seed--551847c5,Akhetonics,https://www.crunchbase.com/organization/akhetonics,Seed,"Berlin, Berlin, Germany, Europe",6000000,EUR,6323184,2024-11-28,Seed,,,,Yes,Akhetonics is creating the world's first all-optical XPU - a general-purpose photonic RISC processor for high-performance computing,"Network Hardware, Semiconductor, Software",,https://www.akhetonics.com,$1M to $10M,8623184,USD,8623184,Seed,4,Matterwave Ventures,7,1,"468 Capital, Bayern Kapital, Constructor Capital, Interface Capital, Matterwave Ventures, Rheingau Founders, Runa Capital",371
Grant - akirolabs,https://www.crunchbase.com/funding_round/akirolabs-grant--3ec20e0b,akirolabs,https://www.crunchbase.com/organization/akirolabs,Grant,"Berlin, Berlin, Germany, Europe",,,,2024-07-23,,,,,No,Akirolabs develops and provides an AI powered SaaS platform for collaborative strategic procurement.,"Artificial Intelligence (AI), Information Technology, Procurement, SaaS",,https://akirolabs.com/,$1M to $10M,5000000,USD,5000000,Seed,3,"European Commission, Investitionsbank Berlin",2,,"European Commission, Investitionsbank Berlin","36,894"
Seed Round - akirolabs,https://www.crunchbase.com/funding_round/akirolabs-seed--702ec142,akirolabs,https://www.crunchbase.com/organization/akirolabs,Seed,"Berlin, Berlin, Germany, Europe",5000000,USD,5000000,2024-01-29,Seed,,,,Yes,Akirolabs develops and provides an AI powered SaaS platform for collaborative strategic procurement.,"Artificial Intelligence (AI), Information Technology, Procurement, SaaS",,https://akirolabs.com/,$1M to $10M,5000000,USD,5000000,Seed,3,"D11Z.Ventures, HTGF | High-Tech Gruenderfonds, OTB Ventures",8,3,"D11Z.Ventures, Detlef Schultz, Fredrick Spalcke, Heiko Schwarz, HTGF | High-Tech Gruenderfonds, Markus Ehrle, OTB Ventures, Serpentine Ventures","82,015"
Venture Round - alcemy,https://www.crunchbase.com/funding_round/alcemy-series-unknown--609cbb41,alcemy,https://www.crunchbase.com/organization/alcemy,Venture - Series Unknown,"Berlin, Berlin, Germany, Europe",9250000,EUR,10014085,2024-07-05,,,,,Yes,Alcemy is a cement and concrete decarbonization startup developing predictive analysis software to assist cement and concrete manufacturers.,"CleanTech, Construction, Green Building, Sustainability",,https://alcemy.tech/,$1M to $10M,22250000,EUR,23564935,,3,Norrsken VC,3,4,"AENU, Galvanize Climate Solutions, Norrsken VC","8,870"
Series A - Amperecloud,https://www.crunchbase.com/funding_round/ampere-cloud-series-a--e520e697,Amperecloud,https://www.crunchbase.com/organization/ampere-cloud,Series A,"Berlin, Berlin, Germany, Europe",3300000,EUR,3572384,2024-07-30,Early Stage Venture,,,,Yes,Amperecloud is the leading Operating System for Renewables.,"Clean Energy, Energy, Energy Efficiency, Energy Management, Environmental Consulting, Hardware, Internet of Things, Renewable Energy, Software",,https://www.amperecloud.com/,$1M to $10M,10800000,EUR,11913141,Early Stage Venture,3,Encevo,3,2,"Encevo, Point Nine, Vireo Ventures","7,600"
