Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Pre Seed Round - Influanza,https://www.crunchbase.com/funding_round/influanza-pre-seed--452c7458,Influanza,https://www.crunchbase.com/organization/influanza,Pre-Seed,"Berlin, Berlin, Germany, Europe",290000,TRY,75058,2017-11-09,Seed,,,,Yes,Influanza is a marketplace that connects video creators with marketers who want to sponsor their content.,"Advertising, Marketing, Marketplace, Small and Medium Businesses, Social Media",,https://www.influanza.com,Less than $1M,150975,USD,150975,Seed,3,,"Ali Cebi, BIC Angels, Joachim Behrendt, Mehmet Onarcan, Tuğra Gönden",5,,"19,723"
Seed Round - Kopernikus Automotive,https://www.crunchbase.com/funding_round/kopernikus-automotive-seed--e637e6e0,Kopernikus Automotive,https://www.crunchbase.com/organization/kopernikus-automotive,Seed,"Berlin, Berlin, Germany, Europe",,,,2017-11-01,Seed,,,,Yes,"Kopernikus Automotive is an autonomous car, self-driving car, middleware, store, commerce, and car tuning company.","Automotive, Autonomous Vehicles, Information Technology",,http://www.kopernikusauto.com,$1M to $10M,3000000,EUR,3271395,,3,,"2b AHEAD Ventures, JANSZKY GmbH",2,,"30,359"
Series A - bonify,https://www.crunchbase.com/funding_round/bonify-series-a--033fbfed,bonify,https://www.crunchbase.com/organization/bonify,Series A,"Berlin, Berlin, Germany, Europe",5500000,EUR,5834949,2017-02-20,Early Stage Venture,,,,Yes,Bonify is a Fintech startup based in Berlin that offers credit scoring tools and services to its users.,"Credit, Finance, Financial Services, FinTech, Personal Finance",,https://www.bonify.de,$1M to $10M,5500000,EUR,5834949,M&A,4,"Atlantic Labs, Mosaic Ventures, Ribbit Capital","Atlantic Labs, DN Capital, HW Capital, Index Ventures, Mosaic Ventures, Ribbit Capital, Tamaz Georgadze",7,1,"49,453"
Series A - 3YOURMIND,https://www.crunchbase.com/funding_round/3yourmind-gmbh-series-a--aada5b69,3YOURMIND,https://www.crunchbase.com/organization/3yourmind-gmbh,Series A,"Berlin, Berlin, Germany, Europe",12000000,USD,12000000,2017-10-09,Early Stage Venture,,,,Yes,"Automation software to manage additive manufacturing part selection, ordering and production workflows for Industry 4.0.","3D Printing, 3D Technology, Enterprise Software, Industrial Manufacturing, Manufacturing, Software",,http://www.3yourmind.com,Less than $1M,27359690,USD,27359690,Early Stage Venture,6,"AM Ventures, TRUMPF Venture, UVC Partners","AM Ventures, coparion, TRUMPF Venture, UVC Partners",4,2,"84,561"
Seed Round - Endodont,https://www.crunchbase.com/funding_round/endodont-seed--d84a6b1c,Endodont,https://www.crunchbase.com/organization/endodont,Seed,"Berlin, Berlin, Germany, Europe",,,,2017-01-01,Seed,,,,Yes,Endodont is develops innovative processes and products for the dental industry.,"Health Care, Medical Device",,http://www.endodont-technology.com/,,,,,Seed,2,Think.Health,Think.Health,1,,"89,071"
Pre Seed Round - Infarm,https://www.crunchbase.com/funding_round/infarm-pre-seed--e8f0e35b,Infarm,https://www.crunchbase.com/organization/infarm,Pre-Seed,"Berlin, Berlin, Germany, Europe",400000,EUR,423640,2017-04-07,Seed,,,,Yes,Infarm builds and distributes efficient vertical farms throughout cities.,"Agriculture, AgTech, Farming, Machine Learning",,https://infarm.com,$500M to $1B,604522397,USD,604522397,Late Stage Venture,12,Archimedes Labs,Archimedes Labs,1,1,"92,344"
Private Equity Round - Acrolinx,https://www.crunchbase.com/funding_round/acrolinx-gmbh-private-equity--3f7aae29,Acrolinx,https://www.crunchbase.com/organization/acrolinx-gmbh,Private Equity,"Berlin, Berlin, Germany, Europe",60000000,USD,60000000,2017-07-24,Private Equity,,,,Yes,Acrolinx is a leading global provider of highly scalable and proven AI software for enterprise content creation.,"Artificial Intelligence (AI), Content Marketing, Enterprise Software, Software",,http://www.acrolinx.com,$10M to $50M,60000000,USD,60000000,Private Equity,4,,GENUI Partners,1,3,"150,038"
Corporate Round - YAS.life,https://www.crunchbase.com/funding_round/yas-life-corporate-round--6a130494,YAS.life,https://www.crunchbase.com/organization/yas-life,Corporate Round,"Berlin, Berlin, Germany, Europe",1500000,EUR,1763430,2017-12-15,,,,,Yes,YAS.life provides digital health bonus systems for health insurers.,"Fitness, Gamification, Health Care, Health Insurance, InsurTech, Personal Health",,http://yas.life/,$10M to $50M,6300000,EUR,7447470,Seed,3,,Deutsche Rückversicherung,1,,"113,821"
Seed Round - Vehiculum,https://www.crunchbase.com/funding_round/vehiculum-mobilty-solutions-gmbh-seed--0e33f4e0,Vehiculum,https://www.crunchbase.com/organization/vehiculum-mobilty-solutions-gmbh,Seed,"Berlin, Berlin, Germany, Europe",1900000,EUR,2247935,2017-10-12,Seed,,,,Yes,Vehiculum is an online platform that enables an independent and transparent price overview of leasing offers and online transactions.,"Auto Insurance, Automotive, Digital Marketing, Financial Services, Leasing, Sales",,https://www.vehiculum.de/,$1M to $10M,10050000,EUR,11443285,Early Stage Venture,5,,"BA4V, Larix, Oskar Hartmann",3,,"163,074"
Seed Round - BEAT81,https://www.crunchbase.com/funding_round/beat81-seed--4fabc2fe,BEAT81,https://www.crunchbase.com/organization/beat81,Seed,"Berlin, Berlin, Germany, Europe",,,,2017-12-01,Seed,,,,Yes,"BEAT81 is the most interactive, intelligent and intense group fitness experience on the market.","Fitness, Mobile Apps, Training",,https://www.beat81.com/de/,$1M to $10M,6400000,EUR,6990639,Seed,3,Atlantic Labs,Atlantic Labs,1,,"149,760"
