Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Angel Round - Selfapy,https://www.crunchbase.com/funding_round/selfapy-angel--fd79a064,Selfapy,https://www.crunchbase.com/organization/selfapy,Angel,"Berlin, Berlin, Germany, Europe",,,,2015-01-01,Seed,,,,Yes,Selfapy's online program offer those affected by mental illnesses quick and clinically proven online therapy.,"Fitness, Health Care, Medical Device, Mental Health",,https://www.selfapy.com,,13000000,EUR,14128501,,8,,Mavericks Founders,1,,"30,193"
Seed Round - Bayes Holding,https://www.crunchbase.com/funding_round/BayesHolding-seed--5d074474,Bayes Holding,https://www.crunchbase.com/organization/BayesHolding,Seed,"Berlin, Berlin, Germany, Europe",2250000,USD,2250000,2015-06-10,Seed,,,,Yes,Bayes is an esports startup that harnesses the power of big data to build tools and services.,"Analytics, eSports, SaaS, Software, Sports",,https://www.bayesesports.com,$1M to $10M,18750000,USD,18750000,,5,,"500 Global, Avala Capital, DN Capital, LVP, March Capital, The Hive",6,3,"144,006"
Seed Round - Tandem,https://www.crunchbase.com/funding_round/tandem-4-seed--9c728ebe,Tandem,https://www.crunchbase.com/organization/tandem-4,Seed,"Berlin, Berlin, Germany, Europe",,,,2015-03-01,Seed,,,,Yes,Tandem is a free mobile app that provides the easiest way to learn a foreign language one-on-one with other people from around the world.,"Apps, Education, Mobile",,https://www.tandem.net,$500M to $1B,7000000,EUR,8138066,Early Stage Venture,4,Atlantic Labs,"Atlantic Labs, Hannover Beteiligungsfonds",2,,"150,130"
Secondary Market - Omio,https://www.crunchbase.com/funding_round/omio-secondary-market--8eb8adbc,Omio,https://www.crunchbase.com/organization/omio,Secondary Market,"Berlin, Berlin, Germany, Europe",,,,2015-06-01,,,,,No,"Omio offers a multi-mode search tool that compares and combines rail, air, bus, and car for destinations.","Internet, Search Engine, Software, Travel, Travel Accommodations",,https://www.omio.com,$1M to $10M,596000000,USD,596000000,Late Stage Venture,11,,Groupe Arnault,1,,"118,300"
Seed Round - Sensorberg,https://www.crunchbase.com/funding_round/sensorberg-seed--fa3b662f,Sensorberg,https://www.crunchbase.com/organization/sensorberg,Seed,"Berlin, Berlin, Germany, Europe",1200000,EUR,1363880,2015-02-19,Seed,,,,Yes,"Sensorberg is a proptech company which digitizes complex buildings and physical processes within offices, coworking spaces and hotels.","Internet of Things, Property Development, Property Management, PropTech, Software",,http://www.sensorberg.com,$10M to $50M,7950000,EUR,9326474,,6,,"Berlin Technologie Holding, Microsoft Accelerator, Polar Light Ventures",3,1,"125,495"
Series A - Spryker,https://www.crunchbase.com/funding_round/spryker-systems-series-a--c058caec,Spryker,https://www.crunchbase.com/organization/spryker-systems,Series A,"Berlin, Berlin, Germany, Europe",,,,2015-06-08,Early Stage Venture,,,,Yes,Spryker is a commerce technology platform that enables global enterprises to build transactional business models.,"B2B, B2C, E-Commerce Platforms, Enterprise Software, Marketplace, SaaS",,http://spryker.com,$100M to $500M,152000000,USD,152000000,,4,Project A Ventures,"BPO Capital, Cherry Ventures, Project A Ventures",3,2,"97,721"
Seed Round - Vane,https://www.crunchbase.com/funding_round/billfront-seed--bbd7a3cb,Vane,https://www.crunchbase.com/organization/billfront,Seed,"Berlin, Berlin, Germany, Europe",1200000,EUR,1325895,2015-07-01,Seed,,,,Yes,Vane is a technology-enabled finance provider dedicated to global digital media companies.,"Ad Network, Digital Media, Financial Services, FinTech",,https://vane.capital/,$1M to $10M,92898372,USD,92898372,Private Equity,4,,finleap,1,,"119,733"
Grant - Autobahn,https://www.crunchbase.com/funding_round/autobahn-grant--87d40a0e,Autobahn,https://www.crunchbase.com/organization/autobahn,Grant,"Berlin, Berlin, Germany, Europe",125000,USD,125000,2015-05-04,,,,,No,Vehicles Sales Platform (VSP) connecting the automotive industry,"Automotive, Cloud Infrastructure, Hardware, Internet of Things, SaaS, Software",,http://www.autobahn.tech,$10M to $50M,2235091,USD,2235091,Private Equity,5,,,,,"152,565"
Seed Round - Urban Sports Club,https://www.crunchbase.com/funding_round/urban-sports-seed--07e282e6,Urban Sports Club,https://www.crunchbase.com/organization/urban-sports,Seed,"Berlin, Berlin, Germany, Europe",,,,2015-04-10,Seed,,,,Yes,Urban Sports offers a monthly flat rate for all kinds of sports activities in the city.,"Fitness, Lifestyle, Sports, Wellness",,https://urbansportsclub.com/,$1M to $10M,175000000,EUR,199639992,,6,,"HV Capital, Think.Health",2,1,"144,444"
Seed Round - CIS - The Capital & Innovation Society,https://www.crunchbase.com/funding_round/cis-the-capital-innovation-society-seed--f06993b9,CIS - The Capital & Innovation Society,https://www.crunchbase.com/organization/cis-the-capital-innovation-society,Seed,"Berlin, Berlin, Germany, Europe",50000,EUR,55998,2015-05-01,Seed,,,,Yes,Private Business Club,Private Social Networking,,https://ci-society.com/,,50000,EUR,55998,Seed,1,Kay Schmidt,Kay Schmidt,1,,"182,603"
Seed Round - VJSUAL (YYM Media Solutions GmbH),https://www.crunchbase.com/funding_round/vjsual-yym-media-solutions-gmbh-seed--03a607ce,VJSUAL (YYM Media Solutions GmbH),https://www.crunchbase.com/organization/vjsual-yym-media-solutions-gmbh,Seed,"Berlin, Berlin, Germany, Europe",,,,2015-09-16,Seed,,,,Yes,vjsual offers animated explainer and e-learning videos.,"Content, Video",,http://www.vjsual.com,,250000,EUR,315479,Seed,2,"Elite Startups, Möller Ventures","Elite Startups, Front Equity, Möller Ventures",3,,"183,660"
Seed Round - KUKIMI,https://www.crunchbase.com/funding_round/kukimi-seed--eb1ba92d,KUKIMI,https://www.crunchbase.com/organization/kukimi,Seed,"Berlin, Berlin, Germany, Europe",1000000,EUR,1114925,2015-09-04,Seed,,,,Yes,KUKIMI is a diet program that delivers a variety of healthy meals directly to its users’ homes or offices.,"Cooking, Food Delivery, Lifestyle",,https://kukimi.de,$1M to $10M,1000000,EUR,1114925,,3,Atlantic Labs,"Atlantic Labs, HTGF | High-Tech Gruenderfonds, ProSiebenSat.1 Accelerator, Seedcamp",4,,"197,908"
Seed Round - Clue,https://www.crunchbase.com/funding_round/clue-seed--9c8bc370,Clue,https://www.crunchbase.com/organization/clue,Seed,"Berlin, Berlin, Germany, Europe",2000000,USD,2000000,2015-03-17,Seed,,,,Yes,Clue is a female health application for period and fertility tracking,"Apps, Fertility, Health Care, mHealth, Wellness, Women's",,https://helloclue.com,$10M to $50M,64766144,USD,64766144,,12,,"Brigitte Mohn, Dr. Kade, Groupe Arnault, LVMH",4,,"202,873"
Seed Round - Coureon,https://www.crunchbase.com/funding_round/coureon-2-seed--ec9fc8e4,Coureon,https://www.crunchbase.com/organization/coureon-2,Seed,"Berlin, Berlin, Germany, Europe",,,,2015-01-01,Seed,,,,Yes,Coureon is the shipping service for online merchants. The SaaS solution allows to manage incoming orders & organise distribution with ease.,"E-Commerce, Internet, Internet of Things, Logistics, SaaS, Shipping, Software, Transportation",,https://www.coureon.com,,250000,EUR,277941,M&A,3,,"Digital Future, TA Ventures, U-Start",3,,"208,254"
