Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,Investor Names,CB Rank (Funding Round)
Venture Round - 1NCE,https://www.crunchbase.com/funding_round/1nce-gmbh-series-unknown--30b176cb,1NCE,https://www.crunchbase.com/organization/1nce-gmbh,Venture - Series Unknown,"Köln, Nordrhein-Westfalen, Germany, Europe",,,,2022-01-26,,,,,Yes,1NCE is the only provider of connectivity and software for IoT at a global flat rate,"Business Intelligence, Data Management, Internet of Things, Smart Building, Smart Cities, Software, Telecommunications, Wireless",,https://1nce.com,$1B to $10B,50000000,USD,50000000,,3,,1,,I Squared Capital,"148,242"
Venture Round - 1NCE,https://www.crunchbase.com/funding_round/1nce-gmbh-series-unknown--4009260d,1NCE,https://www.crunchbase.com/organization/1nce-gmbh,Venture - Series Unknown,"Köln, Nordrhein-Westfalen, Germany, Europe",,,,2022-06-08,,,,,Yes,1NCE is the only provider of connectivity and software for IoT at a global flat rate,"Business Intelligence, Data Management, Internet of Things, Smart Building, Smart Cities, Software, Telecommunications, Wireless",,https://1nce.com,$1B to $10B,50000000,USD,50000000,,3,SoftBank Vision Fund,1,,SoftBank Vision Fund,"359,150"
Seed Round - automaited,https://www.crunchbase.com/funding_round/aiconomix-seed--1cc4ccf7,automaited,https://www.crunchbase.com/organization/aiconomix,Seed,"Köln, Nordrhein-Westfalen, Germany, Europe",4000000,EUR,4201460,2022-04-28,Seed,,,,Yes,"World’s first general process AI that automatically automates any business process. Quick, easy, efficient.","Artificial Intelligence (AI), B2B, Software",,https://automaited.com/,,5000000,EUR,5426309,Seed,2,,4,2,"Headline, Northzone, TechVision Fund, Visionaries Club","81,643"
Venture Round - AYOXXA,https://www.crunchbase.com/funding_round/ayoxxa-series-unknown--83aa0d65,AYOXXA,https://www.crunchbase.com/organization/ayoxxa,Venture - Series Unknown,"Cologne, Nordrhein-Westfalen, Germany, Europe",,,,2022-03-14,,,,,Yes,AYOXXA is a biotech company commercializing innovative technology.,"Biotechnology, Information Technology, Therapeutics",,http://ayoxxa.com,$1M to $10M,11300000,EUR,14965080,,4,Prosnav Capital,1,1,Prosnav Capital,"111,307"
Seed Round - bezahl.de,https://www.crunchbase.com/funding_round/bezahl-seed--128bef89,bezahl.de,https://www.crunchbase.com/organization/bezahl,Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",5000000,EUR,5717775,2022-02-03,Seed,,,,Yes,NX Technologies provides digital and automated payment management and solutions.,"Financial Services, Mobile Payments, Payments",,https://www.bezahl.de,$10M to $50M,38000000,EUR,41384068,Early Stage Venture,3,,4,,"Marco Schnabl, Michael Hock, Motive Ventures, Wessel Management","196,967"
Private Equity Round - BioEcho Life Sciences,https://www.crunchbase.com/funding_round/bioecho-life-sciences-private-equity--50e63a8c,BioEcho Life Sciences,https://www.crunchbase.com/organization/bioecho-life-sciences,Private Equity,"Cologne, Nordrhein-Westfalen, Germany, Europe",,,,2022-03-01,Private Equity,,,,Yes,"BioEcho develops innovative products that drastically improve the quality, convenience, and speed of standard molecular biology.","Biotechnology, Health Care, Product Management, Product Research",,https://www.bioecho.de/,$1M to $10M,,,,M&A,1,Ampersand Capital Partners,1,2,Ampersand Capital Partners,"141,275"
Angel Round - bNear,https://www.crunchbase.com/funding_round/bnear-angel--827be542,bNear,https://www.crunchbase.com/organization/bnear,Angel,"Köln, Nordrhein-Westfalen, Germany, Europe",700000,EUR,688053,2022-09-29,Seed,,,,Yes,"SaaS, Enterprise Software, New Work",Software,,https://www.bNear.io,,700000,EUR,688053,Seed,2,,1,,Flossbach von Storch,"309,130"
Series A - Buynomics,https://www.crunchbase.com/funding_round/buynomics-series-a--8915dff8,Buynomics,https://www.crunchbase.com/organization/buynomics,Series A,"Cologne, Nordrhein-Westfalen, Germany, Europe",13000000,EUR,13464749,2022-11-15,Early Stage Venture,,,,Yes,End-to-end revenue optimization,"Machine Learning, SaaS, Software",,https://www.buynomics.com/,$1M to $10M,16064749,USD,16064749,Early Stage Venture,3,Insight Partners,5,4,"DvH Ventures, Insight Partners, La Famiglia, Seedcamp, Tomahawk.VC","342,388"
Convertible Note - candidate select,https://www.crunchbase.com/funding_round/candidate-select-convertible-note--1a8ccc4e,candidate select,https://www.crunchbase.com/organization/candidate-select,Convertible Note,"Köln, Nordrhein-Westfalen, Germany, Europe",750000,EUR,842205,2022-01-31,,,,,No,"case uses context information and its own algorithm to make educational degrees comparable across institutions, subjects and countries.","Analytics, Artificial Intelligence (AI), Human Resources, Information Technology, Recruiting",,https://www.candidate-select.com,$1M to $10M,2673000,EUR,3004637,Seed,5,,,,,"263,130"
Seed Round - catchHR,https://www.crunchbase.com/funding_round/catch-gmbh-seed--b02be0b0,catchHR,https://www.crunchbase.com/organization/catch-gmbh,Seed,"Köln, Nordrhein-Westfalen, Germany, Europe",,,,2022-08-25,Seed,,,,Yes,catchHR is a human resources software company that offers automated applicant research.,"Human Resources, Personal Development, Recruiting",,https://www.catch.hr,,,,,Seed,1,TechVision Fund,3,1,"Christian Greb, NRW.BANK, TechVision Fund","177,108"
