Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,Investor Names,CB Rank (Funding Round)
Seed Round - 123Fahrschule,https://www.crunchbase.com/funding_round/123-school-seed--1f656568,123Fahrschule,https://www.crunchbase.com/organization/123-school,Seed,"Köln, Nordrhein-Westfalen, Germany, Europe",,,,2017-01-01,Seed,,,,Yes,123Fahrschule specializes in the consolidation and digital expansion of the driver's license training in the driving school market.,"Automotive, E-Learning, Education, Training",,https://www.123fahrschule.de/,$10M to $50M,,,,Seed,2,Media Ventures,2,,"Media Ventures, VCDE Venture Partners","374,982"
Seed Round - 123Fahrschule,https://www.crunchbase.com/funding_round/123-school-seed--5a39dcb1,123Fahrschule,https://www.crunchbase.com/organization/123-school,Seed,"Köln, Nordrhein-Westfalen, Germany, Europe",,,,2017-06-01,Seed,,,,Yes,123Fahrschule specializes in the consolidation and digital expansion of the driver's license training in the driving school market.,"Automotive, E-Learning, Education, Training",,https://www.123fahrschule.de/,$10M to $50M,,,,Seed,2,Enjoyventure Management,1,,Enjoyventure Management,"667,169"
Seed Round - adbonitas,https://www.crunchbase.com/funding_round/adbonitas-seed--d8e293db,adbonitas,https://www.crunchbase.com/organization/adbonitas,Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",500000,EUR,597250,2017-09-15,Seed,,,,Yes,Adbonitas is an internet security company that aims to make digital a safer space for brands.,Cyber Security,,http://www.adbonitas.com,,500000,EUR,597250,Seed,1,,1,,HTGF | High-Tech Gruenderfonds,"367,257"
Seed Round - aedifion,https://www.crunchbase.com/funding_round/aedifion-seed--61f81814,aedifion,https://www.crunchbase.com/organization/aedifion,Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",,,,2017-12-01,Seed,,,,Yes,"Buildings Simply Made Better: The AI-based cloud platform enables us to reduce energy waste, CO2 emissions and operating costs of buildings.","Cloud Data Services, Software",,https://www.aedifion.com/,$1M to $10M,12000000,EUR,12846645,Early Stage Venture,4,Agile Accelerator,1,,Agile Accelerator,"326,223"
Angel Round - Bongour,https://www.crunchbase.com/funding_round/bongour-angel--a1dc4fc0,Bongour,https://www.crunchbase.com/organization/bongour,Angel,"Cologne, Nordrhein-Westfalen, Germany, Europe",230000,EUR,242178,2017-01-01,Seed,,,,Yes,"Bongour is an online platform that allows professional and amateur cooks to build, operate and scale their culinary businesses.","Information Technology, Internet",,http://www.bongour.com,Less than $1M,230000,EUR,242178,Seed,1,,,,,"591,399"
Pre Seed Round - candidate select,https://www.crunchbase.com/funding_round/candidate-select-pre-seed--44cf0342,candidate select,https://www.crunchbase.com/organization/candidate-select,Pre-Seed,"Köln, Nordrhein-Westfalen, Germany, Europe",180000,EUR,191952,2017-03-31,Seed,1500000,EUR,1599601,Yes,"case uses context information and its own algorithm to make educational degrees comparable across institutions, subjects and countries.","Analytics, Artificial Intelligence (AI), Human Resources, Information Technology, Recruiting",,https://www.candidate-select.com,$1M to $10M,2673000,EUR,3004637,Seed,5,,,,,"118,789"
Seed Round - consultingheads GmbH,https://www.crunchbase.com/funding_round/consultingheads-seed--696f8962,consultingheads GmbH,https://www.crunchbase.com/organization/consultingheads,Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",,,,2017-06-01,Seed,,,,Yes,consultingheads– Matching brilliant minds.,"Consulting, Education, Freelance, Human Resources, Internet, Project Management, Software",,https://www.consultingheads.com,Less than $1M,,,,Seed,1,Menden Ventures Consulting,1,,Menden Ventures Consulting,"235,081"
Series A - CROWDFOX,https://www.crunchbase.com/funding_round/crowdfox-series-a--718c057e,CROWDFOX,https://www.crunchbase.com/organization/crowdfox,Series A,"Köln, Nordrhein-Westfalen, Germany, Europe",4700000,EUR,5597410,2017-08-31,Early Stage Venture,,,,Yes,Crowdfox is an innovative shopping club where merchants sell for free and members can buy every product they desire for the best price.,"E-Commerce, Retail, Shopping",,http://www.crowdfox.pro,$1M to $10M,14700000,EUR,16920225,,5,TAKKT Venture Capital,1,,TAKKT Venture Capital,"643,743"
Pre Seed Round - eekual,https://www.crunchbase.com/funding_round/eekual-pre-seed--96d388f8,eekual,https://www.crunchbase.com/organization/eekual,Pre-Seed,"Köln, Nordrhein-Westfalen, Germany, Europe",100000,EUR,118088,2017-10-01,Seed,1000000,EUR,1180883,Yes,we make generative AI that makes fashion,"Fashion, Generative AI",,https://eekual.com/,,300000,EUR,350082,Seed,2,Fabian Dittrich,1,,Fabian Dittrich,"148,058"
Seed Round - entrafin GmbH,https://www.crunchbase.com/funding_round/entrafin-gmbh-seed--8115a05a,entrafin GmbH,https://www.crunchbase.com/organization/entrafin-gmbh,Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",,,,2017-12-01,Seed,,,,Yes,entrafin GmbH offers purchasing and sales financing services for small and medium enterprises (SMEs) and banks in Germany. ,Financial Services,,https://www.entrafin.de/,Less than $1M,,,,Seed,2,TechVision Fund,1,,TechVision Fund,"332,513"
