Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,Investor Names,CB Rank (Funding Round)
Venture Round - 1NCE,https://www.crunchbase.com/funding_round/1nce-gmbh-series-unknown--823fb746,1NCE,https://www.crunchbase.com/organization/1nce-gmbh,Venture - Series Unknown,"Köln, Nordrhein-Westfalen, Germany, Europe",50000000,USD,50000000,2021-09-29,,,,,Yes,1NCE is the only provider of connectivity and software for IoT at a global flat rate,"Business Intelligence, Data Management, Internet of Things, Smart Building, Smart Cities, Software, Telecommunications, Wireless",,https://1nce.com,$1B to $10B,50000000,USD,50000000,,3,,2,1,"Deutsche Telekom, SoftBank","490,521"
Seed Round - _blaenk,https://www.crunchbase.com/funding_round/blaenk-seed--344e7e01,_blaenk,https://www.crunchbase.com/organization/blaenk,Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",560000,USD,560000,2021-07-01,Seed,,,,Yes,The the leading Omnichannel RetailTech Startup in Europe.,"Advertising, Cloud Data Services, E-Commerce, Marketing, Retail",,https://blaenk.com/,$1M to $10M,1733349,USD,1733349,Seed,2,,3,,"BitStone Capital, MA Ventures, Styx Urban Investments","103,373"
Venture Round - aedifion,https://www.crunchbase.com/funding_round/aedifion-series-unknown--bf3303a4,aedifion,https://www.crunchbase.com/organization/aedifion,Venture - Series Unknown,"Cologne, Nordrhein-Westfalen, Germany, Europe",,,,2021-12-13,,,,,Yes,"Buildings Simply Made Better: The AI-based cloud platform enables us to reduce energy waste, CO2 emissions and operating costs of buildings.","Cloud Data Services, Software",,https://www.aedifion.com/,$1M to $10M,12000000,EUR,12846645,Early Stage Venture,4,,4,,"BeyondBuild, BitStone Capital, MOMENI Ventures, Phoenix Contact Innovation Ventures","252,963"
Private Equity Round - aiconix GmbH,https://www.crunchbase.com/funding_round/aiconix-ai-private-equity--5a659cd0,aiconix GmbH,https://www.crunchbase.com/organization/aiconix-ai,Private Equity,"Köln, Nordrhein-Westfalen, Germany, Europe",300000,EUR,339572,2021-12-01,Private Equity,,,,Yes,aiconix.ai relies on artificial intelligence in the area of ​​video optimization.,"Analytics, Artificial Intelligence (AI), Machine Learning, Media and Entertainment, SaaS, Software, Speech Recognition",,http://www.aiconix.ai/,$1M to $10M,2323157,EUR,2686703,Private Equity,9,,4,,"Harald Ehrl, Jens Schumann, Kim Nis Neuhauss, Oliver Schallhorn","542,057"
Pre Seed Round - Aparkado,https://www.crunchbase.com/funding_round/aparkado-pre-seed--7714ea21,Aparkado,https://www.crunchbase.com/organization/aparkado,Pre-Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",,,,2021-10-01,Seed,,,,Yes,We launched the LKW.APP to empower truck drivers in their everyday life by leveraging an innovative app.,"Logistics, Software, Supply Chain Management",,https://lkw.app,$1M to $10M,,,,Seed,1,,,,,"168,639"
Grant - aptone,https://www.crunchbase.com/funding_round/aptone-grant--1d4da72d,aptone,https://www.crunchbase.com/organization/aptone,Grant,"Cologne, Nordrhein-Westfalen, Germany, Europe",24000,EUR,27166,2021-12-01,,,,,No,Aptone focuses on providing solutions and services for music producers.,"Audio, Music",,https://aptone.io,,129000,EUR,153909,M&A,2,,,,,"535,003"
Seed Round - AutLay,https://www.crunchbase.com/funding_round/autlay-seed--53ee45b2,AutLay,https://www.crunchbase.com/organization/autlay,Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",,,,2021-02-09,Seed,,,,Yes,"AutLay offers online software as a service for print a catalogs, brochures & eCommerce.","Document Management, E-Commerce, Printing, SaaS, Software",,https://www.autlay.com/,,,,,Seed,2,Venture Creator,1,,Venture Creator,"167,028"
Pre Seed Round - automaited,https://www.crunchbase.com/funding_round/aiconomix-pre-seed--aaecd1b1,automaited,https://www.crunchbase.com/organization/aiconomix,Pre-Seed,"Köln, Nordrhein-Westfalen, Germany, Europe",1000000,EUR,1224849,2021-05-25,Seed,,,,Yes,"World’s first general process AI that automatically automates any business process. Quick, easy, efficient.","Artificial Intelligence (AI), B2B, Software",,https://automaited.com/,,5000000,EUR,5426309,Seed,2,"TechVision Fund, Visionaries Club",2,2,"TechVision Fund, Visionaries Club","341,303"
Seed Round - b.fab,https://www.crunchbase.com/funding_round/b-fab-seed--04b70113,b.fab,https://www.crunchbase.com/organization/b-fab,Seed,"Köln, Nordrhein-Westfalen, Germany, Europe",,,,2021-01-06,Seed,,,,Yes,B.fab specializes in the conversion of CO2 and hydrogen from renewable energy into biotechnological value chains.,"Biotechnology, Life Science, Sustainability",,http://www.bfab.bio/,,,,,Seed,2,b.value AG,1,,b.value AG,"142,579"
Series A - Balance Re,https://www.crunchbase.com/funding_round/balance-re-series-a--b0041fec,Balance Re,https://www.crunchbase.com/organization/balance-re,Series A,"Köln, Nordrhein-Westfalen, Germany, Europe",10000000,USD,10000000,2021-08-19,Early Stage Venture,,,,Yes,Balance Re is a life reinsurance company specializing in asset-liability and risk management.,"Financial Services, Insurance, InsurTech",,https://www.balance.re/,$1M to $10M,10000000,USD,10000000,Early Stage Venture,1,Anthemis,4,1,"Anthemis, Global Brain Corporation, Roland Berger, Talabot Finance","91,844"
Pre Seed Round - Brajuu,https://www.crunchbase.com/funding_round/brajuu-pre-seed--fddac5fd,Brajuu,https://www.crunchbase.com/organization/brajuu,Pre-Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",,,,2021-07-20,Seed,,,,Yes,Fashion-Tech Start-Up that unf*cks bra-shopping!,E-Commerce,,https://www.brajuu.com,,,,,Seed,1,,,,,"84,858"
Seed Round - Brickspaces,https://www.crunchbase.com/funding_round/brickspaces-seed--53dcba83,Brickspaces,https://www.crunchbase.com/organization/brickspaces,Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",,,,2021-08-05,Seed,,,,Yes,_blaenk is a platform for retail space brokerage.,"Consulting, E-Commerce, Real Estate, Retail",,https://brickspaces.de/,,1000000,EUR,1173349,Seed,3,,1,,Styx Urban Investments,"528,468"
Seed Round - Buynomics,https://www.crunchbase.com/funding_round/buynomics-seed--5521cd6b,Buynomics,https://www.crunchbase.com/organization/buynomics,Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",2600000,USD,2600000,2021-08-02,Seed,,,,Yes,End-to-end revenue optimization,"Machine Learning, SaaS, Software",,https://www.buynomics.com/,$1M to $10M,16064749,USD,16064749,Early Stage Venture,3,La Famiglia,4,,"DvH Ventures, La Famiglia, Seedcamp, Tomahawk.VC","321,223"
Venture Round - CEVEC Pharmaceuticals,https://www.crunchbase.com/funding_round/cevec-pharmaceuticals-series-unknown--895956da,CEVEC Pharmaceuticals,https://www.crunchbase.com/organization/cevec-pharmaceuticals,Venture - Series Unknown,"Köln, Nordrhein-Westfalen, Germany, Europe",,,,2021-07-27,,,,,Yes,CEVEC Pharmaceuticals develops therapeutic proteins and monoclonal antibodies with human glycosylation patterns.,"Biopharma, Biotechnology, Health Care",,http://www.cevec.com,$10M to $50M,24907729,USD,24907729,M&A,5,NRW.BANK,1,1,NRW.BANK,"349,776"
Venture Round - CROWDFOX,https://www.crunchbase.com/funding_round/crowdfox-series-unknown--9ba5ceb7,CROWDFOX,https://www.crunchbase.com/organization/crowdfox,Venture - Series Unknown,"Köln, Nordrhein-Westfalen, Germany, Europe",5000000,EUR,5665010,2021-11-30,,,,,Yes,Crowdfox is an innovative shopping club where merchants sell for free and members can buy every product they desire for the best price.,"E-Commerce, Retail, Shopping",,http://www.crowdfox.pro,$1M to $10M,14700000,EUR,16920225,,5,,,,,"253,740"
Pre Seed Round - digiblue,https://www.crunchbase.com/funding_round/digiblue-pre-seed--54a7c02f,digiblue,https://www.crunchbase.com/organization/digiblue,Pre-Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",,,,2021-03-09,Seed,,,,Yes,digiblue provides sensor based quality management system to its clients.,Internet of Things,,https://www.digiblue.de/,,,,,Seed,1,,1,,CologneInvest,"139,477"
Seed Round - Doqtor,https://www.crunchbase.com/funding_round/doqtor-seed--10345108,Doqtor,https://www.crunchbase.com/organization/doqtor,Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",,,,2021-11-09,Seed,,,,Yes,Doqtor primarily deals with the psychosocial stresses of employees from companies in various industries.,"Medical, Psychology, Wellness",,https://www.doqtor.de/,$1M to $10M,,,,Seed,1,,1,,Marcus Diekmann,"97,001"
Grant - eekual,https://www.crunchbase.com/funding_round/eekual-grant--dfad1338,eekual,https://www.crunchbase.com/organization/eekual,Grant,"Köln, Nordrhein-Westfalen, Germany, Europe",200000,EUR,231994,2021-10-15,,,,,No,we make generative AI that makes fashion,"Fashion, Generative AI",,https://eekual.com/,,300000,EUR,350082,Seed,2,,,,,"218,539"
Series A - epilot,https://www.crunchbase.com/funding_round/e-pilot-series-a--f50b0f6d,epilot,https://www.crunchbase.com/organization/e-pilot,Series A,"Cologne, Nordrhein-Westfalen, Germany, Europe",,,,2021-09-22,Early Stage Venture,,,,Yes,The SaaS platform for a new energy world.,"B2B, Cloud Computing, Enterprise Software, SaaS, Software",,https://epilot.cloud/,Less than $1M,10000000,EUR,10819045,,5,,,,,"283,954"
Seed Round - Erste Hausverwaltung GmbH,https://www.crunchbase.com/funding_round/erste-hausverwaltung-gmbh-seed--33f12f69,Erste Hausverwaltung GmbH,https://www.crunchbase.com/organization/erste-hausverwaltung-gmbh,Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",,,,2021-07-05,Seed,,,,Yes,Erste Hausverwaltung offers digital property management. We combine digital processes with local contacts on site.,"Property Management, Real Estate",,https://erste-hausverwaltung.de/,,,,,M&A,1,,1,,Round Hill Ventures,"112,314"
Pre Seed Round - eyva.ai,https://www.crunchbase.com/funding_round/datazeit-pre-seed--2c120ff3,eyva.ai,https://www.crunchbase.com/organization/datazeit,Pre-Seed,"Köln, Nordrhein-Westfalen, Germany, Europe",,,,2021-06-30,Seed,,,,Yes,Meet eyva - you guide to a winning product portfolio.,"Artificial Intelligence (AI), Big Data, Consumer, Information Technology, Machine Learning, Market Research, Natural Language Processing, Software, Text Analytics",,https://www.eyva.ai,Less than $1M,2750000,EUR,2889047,Seed,3,Venista Ventures,2,1,"JVH Ventures, Venista Ventures","111,391"
Seed Round - feelfood,https://www.crunchbase.com/funding_round/feelfood-seed--3f27d1f5,feelfood,https://www.crunchbase.com/organization/feelfood,Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",3000,EUR,3480,2021-11-01,Seed,,,,Yes,feelfood is providing all the important nutrients in organic quality with a purely plant-based recipe.,"Food and Beverage, Organic Food",,https://feel-food.com/,Less than $1M,3000,EUR,3480,Seed,1,,1,,Startnext,"174,587"
Pre Seed Round - Forenamics,https://www.crunchbase.com/funding_round/forenamics-pre-seed--d52362a4,Forenamics,https://www.crunchbase.com/organization/forenamics,Pre-Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",350000,EUR,420698,2021-05-01,Seed,,,,Yes,Forenamics is a AI demand forecasting service for food producers.,"Artificial Intelligence (AI), Enterprise Resource Planning (ERP), Food and Beverage, Information Technology, Internet, Machine Learning, Predictive Analytics, Software",,https://www.forenamics.com,,350000,EUR,420698,Seed,1,,1,,Business Angel,"124,890"
Seed Round - Freightly,https://www.crunchbase.com/funding_round/freightly-seed--8ee66fbc,Freightly,https://www.crunchbase.com/organization/freightly,Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",2500000,USD,2500000,2021-07-26,Seed,,,,Yes,Freightly is a real-time logistics & transport management system.,Logistics,,http://freightly.com/,Less than $1M,2500000,USD,2500000,Seed,1,,1,,100Unicorns,"161,945"
Seed Round - Installion,https://www.crunchbase.com/funding_round/installion-seed--8a5d771b,Installion,https://www.crunchbase.com/organization/installion,Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",3200000,EUR,3760918,2021-08-24,Seed,,,,Yes,Installion is a cutting-edge marketplace for photovoltaic installation orders.,Energy,,https://installion.eu/,$1M to $10M,3200000,EUR,3760918,M&A,1,Eneco Ventures,1,,Eneco Ventures,"657,583"
Convertible Note - itravel,https://www.crunchbase.com/funding_round/itravel-convertible-note--2ee2ec39,itravel,https://www.crunchbase.com/organization/itravel,Convertible Note,"Cologne, Nordrhein-Westfalen, Germany, Europe",12300000,EUR,13827045,2021-11-22,,,,,No,itravel provides customized online mobile leisure booking.,"Tourism, Transportation, Travel Agency",,http://www.itravel.de,$1M to $10M,26300000,EUR,30343446,Early Stage Venture,8,Grazia Equity,3,,"Florian Heinemann, Grazia Equity, Mirko Caspar","361,475"
Venture Round - jobvalley,https://www.crunchbase.com/funding_round/studitemps-series-unknown--529adfc7,jobvalley,https://www.crunchbase.com/organization/studitemps,Venture - Series Unknown,"Cologne, Nordrhein-Westfalen, Germany, Europe",9200000,EUR,11025887,2021-04-14,,,,,Yes,Driving the workforce revolution,"Career Planning, Marketplace, Recruiting, Staffing Agency",,https://jobvalley.com/,,24200000,EUR,28291708,,11,,3,,"HV Capital, IRIS, XAnge","563,855"
Private Equity Round - Kapten & Son,https://www.crunchbase.com/funding_round/kapten-son-private-equity--12eb427b,Kapten & Son,https://www.crunchbase.com/organization/kapten-son,Private Equity,"Köln, Nordrhein-Westfalen, Germany, Europe",,,,2021-03-10,Private Equity,,,,Yes,Kapten & Son is a lifestyle accessory brand.,"E-Commerce, Retail",,https://kapten-son.com/en/,$1M to $10M,,,,Private Equity,1,,1,,Ardian,"150,802"
Seed Round - kyp.ai,https://www.crunchbase.com/funding_round/kyp-ai-seed--3a57da6c,kyp.ai,https://www.crunchbase.com/organization/kyp-ai,Seed,"Köln, Nordrhein-Westfalen, Germany, Europe",,,,2021-09-08,Seed,,,,Yes,kyp.ai is a transformation mining company fueling digital change.,Artificial Intelligence (AI),,https://www.kyp.ai/,$10M to $50M,17500000,EUR,18637324,Early Stage Venture,2,,3,,"10x Group, 42CAP, Tola Capital","403,602"
Convertible Note - Lumoview Building Analytics,https://www.crunchbase.com/funding_round/lumoview-building-analytics-convertible-note--411feaac,Lumoview Building Analytics,https://www.crunchbase.com/organization/lumoview-building-analytics,Convertible Note,"Cologne, Nordrhein-Westfalen, Germany, Europe",,,,2021-09-03,,,,,No,Lumoview digitizes buildings in 2 seconds per room and empowers owners to improve their buildings and reduce CO2 emissions.,"Analytics, CleanTech, Energy Efficiency, Facility Management, Green Building, GreenTech, Hardware, Property Management, Software, Sustainability",,https://www.lumoview.com,,,,,Seed,5,NRW.BANK,1,,NRW.BANK,"318,697"
Venture Round - mailo,https://www.crunchbase.com/funding_round/mailo-588f-series-unknown--154b607c,mailo,https://www.crunchbase.com/organization/mailo-588f,Venture - Series Unknown,"Köln, Nordrhein-Westfalen, Germany, Europe",10000000,USD,10000000,2021-10-05,,,,,Yes,"Mailo provides digital entrepreneur insurer for freelancers, self-employed and small businesses.","Consulting, Insurance, Internet",,https://mailo.de/,$1M to $10M,10000000,USD,10000000,,2,WENVEST Capital,1,,WENVEST Capital,"59,929"
Series A - mailo,https://www.crunchbase.com/funding_round/mailo-588f-series-a--98cb1ea5,mailo,https://www.crunchbase.com/organization/mailo-588f,Series A,"Köln, Nordrhein-Westfalen, Germany, Europe",,,,2021-06-26,Early Stage Venture,,,,Yes,"Mailo provides digital entrepreneur insurer for freelancers, self-employed and small businesses.","Consulting, Insurance, Internet",,https://mailo.de/,$1M to $10M,10000000,USD,10000000,,2,,1,,Lakeside Invest & Consult,"661,385"
Series A - Mammaly,https://www.crunchbase.com/funding_round/mammaly-series-a--613ca538,Mammaly,https://www.crunchbase.com/organization/mammaly,Series A,"Köln, Nordrhein-Westfalen, Germany, Europe",3000000,EUR,3400138,2021-12-16,Early Stage Venture,,,,Yes,"Mammaly, a pet health startup that develops a range of snacks specifically targeting and helping reduce the severity of aging dog issues.","Animal Feed, Health Care, Pet",,https://www.mammaly.de,$10M to $50M,17000000,EUR,18426273,Early Stage Venture,2,Five Seasons Ventures,1,1,Five Seasons Ventures,"342,205"
Venture Round - Megabad,https://www.crunchbase.com/funding_round/megabad-series-unknown--c4d1c40f,Megabad,https://www.crunchbase.com/organization/megabad,Venture - Series Unknown,"Cologne, Nordrhein-Westfalen, Germany, Europe",,,,2021-08-01,,,,,Yes,Megabad is an online store for sanitary and heating products in Cologne.,"Consumer Goods, E-Commerce",,https://www.megabad.com,,,,,M&A,1,,1,,FSN Capital Partners,"379,555"
Seed Round - MINDZEIT®,https://www.crunchbase.com/funding_round/mindzeit-seed--cfb3a332,MINDZEIT®,https://www.crunchbase.com/organization/mindzeit,Seed,"Köln, Nordrhein-Westfalen, Germany, Europe",,,,2021-07-26,Seed,,,,Yes,MINDZEIT is an intelligent coaching system based on mindfulness and meditation.,"Apps, Fitness, InsurTech, Wellness","Women Founded, Women Led",https://mindzeit.app/,Less than $1M,60000,EUR,69567,Seed,5,,1,,TechFounders,"43,768"
Grant - MINDZEIT®,https://www.crunchbase.com/funding_round/mindzeit-grant--0c2ac32f,MINDZEIT®,https://www.crunchbase.com/organization/mindzeit,Grant,"Köln, Nordrhein-Westfalen, Germany, Europe",60000,EUR,69567,2021-11-09,,,,,No,MINDZEIT is an intelligent coaching system based on mindfulness and meditation.,"Apps, Fitness, InsurTech, Wellness","Women Founded, Women Led",https://mindzeit.app/,Less than $1M,60000,EUR,69567,Seed,5,,1,,Film- und Medienstiftung NRW,"184,445"
Pre Seed Round - Naughty Nuts,https://www.crunchbase.com/funding_round/naughty-nuts-pre-seed--40204cea,Naughty Nuts,https://www.crunchbase.com/organization/naughty-nuts,Pre-Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",,,,2021-03-18,Seed,,,,Yes,"Naughty Nuts is a nut butter manufacturing company that provides nut butter tasting packs, and peanut butter salted caramel.","Food and Beverage, Food Processing, Snack Food",,https://www.naughtynuts.de/,$1M to $10M,,,,M&A,2,,1,,Döhler Ventures,"280,449"
Series B - nextmarkets,https://www.crunchbase.com/funding_round/nextmarkets-gmbh-series-b--df6d7ea9,nextmarkets,https://www.crunchbase.com/organization/nextmarkets-gmbh,Series B,"Cologne, Nordrhein-Westfalen, Germany, Europe",30000000,USD,30000000,2021-03-01,Early Stage Venture,,,,Yes,nextmarkets is Europe's commission-free online broker,"Financial Services, FinTech, Stock Exchanges, Trading Platform",,https://www.nextmarkets.com,,54293969,USD,54293969,,4,"Alan Howard, Samara Asset Group",5,1,"Alan Howard, DEWB, Infinitas Capital, Korify Capital, Samara Asset Group","667,969"
Series A - NOMOO,https://www.crunchbase.com/funding_round/nomoo-series-a--4db82c83,NOMOO,https://www.crunchbase.com/organization/nomoo,Series A,"Cologne, Nordrhein-Westfalen, Germany, Europe",,,,2021-01-15,Early Stage Venture,,,,Yes,NOMOO manufactures vegan ice-creams.,"Food and Beverage, Food Processing, Manufacturing",,https://nomoo.de/,Less than $1M,,,,Early Stage Venture,2,Quest Solutions,2,1,"Dr. Giesen Family Office, Quest Solutions","152,776"
Seed Round - Operaize,https://www.crunchbase.com/funding_round/operaize-seed--1bb371b9,Operaize,https://www.crunchbase.com/organization/operaize,Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",1500000,EUR,1705177,2021-11-18,Seed,,,,Yes,Operaize offers cognitive operations for manufacturers through the next generation AI-powered production planning & scheduling solution.,"Artificial Intelligence (AI), Industrial Automation, Machine Learning, Software",,https://operaize.com/,$1M to $10M,1500000,EUR,1705177,Seed,1,,3,,"FTTF, HTGF | High-Tech Gruenderfonds, NRW.BANK","85,017"
Pre Seed Round - Prematch,https://www.crunchbase.com/funding_round/prematch-pre-seed--ea699ab7,Prematch,https://www.crunchbase.com/organization/prematch,Pre-Seed,"Köln, Nordrhein-Westfalen, Germany, Europe",,,,2021-10-22,Seed,,,,Yes,Prematch is building the #1 platform for grassroots football.,"Mobile, Natural Language Processing, Soccer",,https://www.prematchapp.de/?r=0,$1M to $10M,4100000,EUR,4420345,Seed,4,,9,,"Alex Macdonald, Christian Greb, Frederick Roehder, Nikolaus Glasmacher, Nils Wilde, Ralf Reichert, Robert Ermich, Roman Kirsch, Tobias Tschoetsch","224,745"
Grant - PROSION,https://www.crunchbase.com/funding_round/prosion-grant--f969371e,PROSION,https://www.crunchbase.com/organization/prosion,Grant,"Cologne, Nordrhein-Westfalen, Germany, Europe",2461375,EUR,2952443,2021-06-16,,,,,No,PROSION Therapeutics is a pharmaceutical and drug discovery start-up company in the undruggable space.,"Medical, Pharmaceutical",,https://www.prosion.io,$1M to $10M,2461375,EUR,2952443,Seed,2,European Innovation Council,1,,European Innovation Council,"119,054"
Seed Round - Sastrify,https://www.crunchbase.com/funding_round/sastrify-seed--e3d216c9,Sastrify,https://www.crunchbase.com/organization/sastrify,Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",7000000,USD,7000000,2021-08-25,Seed,,,,Yes,Sastrify is a virtual SaaS service procurement software that improves SaaS operations management and SaaS spending.,"Procurement, SaaS, Software",,https://sastrify.com,$10M to $50M,55193364,USD,55193364,Early Stage Venture,6,HV Capital,3,3,"Flixfounders, HV Capital, TS Ventures","669,207"
Venture Round - sourc-e,https://www.crunchbase.com/funding_round/sourc-e-series-unknown--b09110c7,sourc-e,https://www.crunchbase.com/organization/sourc-e,Venture - Series Unknown,"Cologne, Nordrhein-Westfalen, Germany, Europe",,,,2021-05-04,,,,,Yes,sourc-e is a partner for all printing requirement.,Printing,,https://shop.sourc-e.com/,,,,,,1,,,,,"115,127"
Pre Seed Round - specter automation,https://www.crunchbase.com/funding_round/specter-automation-pre-seed--2eff68c6,specter automation,https://www.crunchbase.com/organization/specter-automation,Pre-Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",,,,2021-10-31,Seed,,,,Yes,"B2B SaaS company for AI powered automation of construction site management and tracking, effectively cutting construction delays in half.","Artificial Intelligence (AI), Construction, Enterprise Software, SaaS, Software",,http://www.specter-automation.com/,,2700000,EUR,2932383,Seed,2,,,,,"33,697"
Seed Round - Sugartrends,https://www.crunchbase.com/funding_round/sugartrends-seed--681e6810,Sugartrends,https://www.crunchbase.com/organization/sugartrends,Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",1800000,USD,1800000,2021-04-30,Seed,,,,Yes,Sugartrends is an online marketplace.,"E-Commerce, Fashion, Marketplace",,http://www.sugartrends.com,Less than $1M,4471554,USD,4471554,Early Stage Venture,9,,,,,"238,752"
Seed Round - Sunvigo,https://www.crunchbase.com/funding_round/sunvigo-seed--83783968,Sunvigo,https://www.crunchbase.com/organization/sunvigo,Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",3000000,EUR,3522566,2021-08-11,Seed,,,,Yes,Sunvigo provides you with cheap solar power from your roof and real green power from the grid.,"Renewable Energy, Solar",,https://www.sunvigo.de/,$100M to $500M,53000000,EUR,59106391,Early Stage Venture,7,,2,,"HTGF | High-Tech Gruenderfonds, Übermorgen Ventures","661,301"
Pre Seed Round - The Good Workshop,https://www.crunchbase.com/funding_round/the-good-workshop-pre-seed--12db226a,The Good Workshop,https://www.crunchbase.com/organization/the-good-workshop,Pre-Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",,,,2021-02-10,Seed,,,,Yes,TGW is a web app that automates innovation workshops,"Enterprise Software, Human Resources, Innovation Management, SaaS, Sustainability",,https://www.thegoodworkshop.io/,Less than $1M,50000,USD,50000,Seed,3,Thea Vanessa Knight,1,,Thea Vanessa Knight,"112,283"
Pre Seed Round - tl;dv,https://www.crunchbase.com/funding_round/tl-dv-pre-seed--89a3d88a,tl;dv,https://www.crunchbase.com/organization/tl-dv,Pre-Seed,"Köln, Nordrhein-Westfalen, Germany, Europe",,,,2021-01-01,Seed,,,,Yes,Join fewer & host leaner live meetings. Catch up on meetings in minutes.,"Artificial Intelligence (AI), Meeting Software, Recruiting, Software",,http://www.tldv.io/,$1M to $10M,4300000,EUR,4534994,Seed,2,,3,,"another.vc, MSM, Seedcamp","348,585"
Seed Round - tradingtwins,https://www.crunchbase.com/funding_round/tradingtwins-seed--be76edfb,tradingtwins,https://www.crunchbase.com/organization/tradingtwins,Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",1000000,EUR,1203251,2021-04-20,Seed,,,,Yes,TradingTwins offers a data-driven B2B marketplace that links small businesses with complex purchase needs to suitable suppliers.,"B2B, Internet, Lead Generation, Lead Management, Marketplace, Software",,https://www.tradingtwins.com,$1M to $10M,1000000,EUR,1203251,Seed,1,,1,,Engelhardt Kaupp Kiefer,"132,784"
Seed Round - Vytal,https://www.crunchbase.com/funding_round/vytal-seed--d962658c,Vytal,https://www.crunchbase.com/organization/vytal,Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",2000000,EUR,2423749,2021-02-10,Seed,,,,Yes,Vytal is a provider of software-enabled reusable packaging solutions to eliminate single-use packaging waste.,"Food and Beverage, Recycling, Snack Food, Sustainability, Waste Management",,https://www.vytal.org,$1M to $10M,19070255,USD,19070255,,4,,9,1,"Burning Issues Impact Fund, Caesar Business Angels, Georg Kofler, HW Capital, Jochen Krisch, Kai Hansen, Mücke Roth & Company, Nixdorf Kapital, Sven Rittau","600,224"
Seed Round - WaschMal,https://www.crunchbase.com/funding_round/waschmal-seed--d2e927c2,WaschMal,https://www.crunchbase.com/organization/waschmal,Seed,"Köln, Nordrhein-Westfalen, Germany, Europe",,,,2021-08-24,Seed,,,,Yes,WaschMal is an online laundry service company.,"E-Commerce, Internet",,http://waschmal.de,,,,,Seed,2,,,,,"507,643"
