Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,Investor Names,CB Rank (Funding Round)
Series A - _blaenk,https://www.crunchbase.com/funding_round/blaenk-series-a--3f7bb685,_blaenk,https://www.crunchbase.com/organization/blaenk,Series A,"Cologne, Nordrhein-Westfalen, Germany, Europe",1000000,EUR,1173349,2020-11-04,Early Stage Venture,,,,Yes,The the leading Omnichannel RetailTech Startup in Europe.,"Advertising, Cloud Data Services, E-Commerce, Marketing, Retail",,https://blaenk.com/,$1M to $10M,1733349,USD,1733349,Seed,2,MA Ventures,4,2,"AC+X Strategic Investments, BitStone Capital, Founders Factory, MA Ventures","339,599"
Seed Round - aedifion,https://www.crunchbase.com/funding_round/aedifion-seed--41f4a4b6,aedifion,https://www.crunchbase.com/organization/aedifion,Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",,,,2020-02-07,Seed,,,,Yes,"Buildings Simply Made Better: The AI-based cloud platform enables us to reduce energy waste, CO2 emissions and operating costs of buildings.","Cloud Data Services, Software",,https://www.aedifion.com/,$1M to $10M,12000000,EUR,12846645,Early Stage Venture,4,,1,,BitStone Capital,"34,724"
Private Equity Round - aiconix GmbH,https://www.crunchbase.com/funding_round/aiconix-ai-private-equity--13d89149,aiconix GmbH,https://www.crunchbase.com/organization/aiconix-ai,Private Equity,"Köln, Nordrhein-Westfalen, Germany, Europe",275000,EUR,327389,2020-08-28,Private Equity,2550000,EUR,3035787,Yes,aiconix.ai relies on artificial intelligence in the area of ​​video optimization.,"Analytics, Artificial Intelligence (AI), Machine Learning, Media and Entertainment, SaaS, Software, Speech Recognition",,http://www.aiconix.ai/,$1M to $10M,2323157,EUR,2686703,Private Equity,9,,3,,"Jens Schumann, Kim Nis Neuhauss, Ragnar Kruse","408,453"
Grant - aptone,https://www.crunchbase.com/funding_round/aptone-grant--9f78edbd,aptone,https://www.crunchbase.com/organization/aptone,Grant,"Cologne, Nordrhein-Westfalen, Germany, Europe",105000,EUR,126743,2020-12-01,,,,,No,Aptone focuses on providing solutions and services for music producers.,"Audio, Music",,https://aptone.io,,129000,EUR,153909,M&A,2,,,,,"640,329"
Grant - b.fab,https://www.crunchbase.com/funding_round/b-fab-grant--2870fab7,b.fab,https://www.crunchbase.com/organization/b-fab,Grant,"Köln, Nordrhein-Westfalen, Germany, Europe",,,,2020-03-03,,,,,No,B.fab specializes in the conversion of CO2 and hydrogen from renewable energy into biotechnological value chains.,"Biotechnology, Life Science, Sustainability",,http://www.bfab.bio/,,,,,Seed,2,,1,,German Federal Ministry of Education and Research,"399,720"
Private Equity Round - BAVARVA AND COMPANY,https://www.crunchbase.com/funding_round/bavarva-and-company-private-equity--58d2c30b,BAVARVA AND COMPANY,https://www.crunchbase.com/organization/bavarva-and-company,Private Equity,"Cologne, Nordrhein-Westfalen, Germany, Europe",10000000,USD,10000000,2020-01-05,Private Equity,12000000,USD,12000000,Yes,A family venture with a new technology of farming and renewable energy,"Agriculture, Communities, Family, Farming, Information Technology, Renewable Energy, Venture Capital",,,,10000000,USD,10000000,Private Equity,1,Sagar Ratilal Bavarva,1,,Sagar Ratilal Bavarva,"130,412"
Venture Round - Bavarva Flock Limited,https://www.crunchbase.com/funding_round/bavarva-flock-inc-series-unknown--0fcabdef,Bavarva Flock Limited,https://www.crunchbase.com/organization/bavarva-flock-inc,Venture - Series Unknown,"Köln, Nordrhein-Westfalen, Germany, Europe",20000000,EUR,22321155,2020-01-05,,22000000,EUR,24553270,Yes,A Next Generation Digital Energy Investment Firm,"Clean Energy, Energy, Renewable Energy",,,,20000000,EUR,22321155,,1,,,,,"174,540"
Series A - Brickspaces,https://www.crunchbase.com/funding_round/brickspaces-series-a--247eab99,Brickspaces,https://www.crunchbase.com/organization/brickspaces,Series A,"Cologne, Nordrhein-Westfalen, Germany, Europe",1000000,EUR,1173349,2020-11-04,Early Stage Venture,,,,Yes,_blaenk is a platform for retail space brokerage.,"Consulting, E-Commerce, Real Estate, Retail",,https://brickspaces.de/,,1000000,EUR,1173349,Seed,3,,,,,"558,650"
Grant - candidate select,https://www.crunchbase.com/funding_round/candidate-select-grant--44d9e930,candidate select,https://www.crunchbase.com/organization/candidate-select,Grant,"Köln, Nordrhein-Westfalen, Germany, Europe",563000,EUR,631628,2020-01-01,,,,,No,"case uses context information and its own algorithm to make educational degrees comparable across institutions, subjects and countries.","Analytics, Artificial Intelligence (AI), Human Resources, Information Technology, Recruiting",,https://www.candidate-select.com,$1M to $10M,2673000,EUR,3004637,Seed,5,,,,,"499,939"
Pre Seed Round - Certif-ID International GmbH,https://www.crunchbase.com/funding_round/certif-id-international-gbr-pre-seed--f19411df,Certif-ID International GmbH,https://www.crunchbase.com/organization/certif-id-international-gbr,Pre-Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",,,,2020-03-01,Seed,,,,Yes,Certif-ID is a ‘Future of Work’ platform connecting education to technical skills employment.,"Blockchain, Education, Human Resources",,https://certif-id.com/,$1M to $10M,1600000,EUR,1747171,Seed,2,TÜV 1 GmbH,1,,TÜV 1 GmbH,"396,947"
