Funding ID,Organization Name,Funding Type,Money Raised,Announced Date,Lead Investors,Number of Investors,Investor Names,Company ID
000001,4stop,Series A,2500000.0,2019-05-15,Ventech,1.0,['Ventech'],000000
000002,aiconix GmbH,Convertible Note,,2019-06-17,,,[''],001193
000003,aiconix GmbH,Pre-Seed,300000.0,2019-08-28,,,[''],001193
000004,AutLay,Seed,,2019-05-22,Crew Ventures,1.0,['Crew Ventures'],001196
000005,Buynomics,Pre-Seed,,2019-09-01,DvH Ventures,2.0,"['DvH Ventures', 'Tomahawk.VC']",001205
000006,candidate select,Seed,1050000.0,2019-06-22,Rolf Schromgens,1.0,['Rolf Schromgens'],001206
000007,Cannamedical Pharma,Series A,15000000.0,2019-01-31,Orkila Capital,1.0,['Orkila Capital'],001207
000008,Enermeter,Seed,,2019-01-18,M-VC Europe Ltd.,1.0,['M-VC Europe Ltd.'],001215
000009,envelio,Series A,6000000.0,2019-12-12,eCAPITAL ENTREPRENEURIAL PARTNERS,3.0,"['Demeter', 'eCAPITAL ENTREPRENEURIAL PARTNERS', 'HTGF | High-Tech Gruenderfonds']",001217
000010,envelio,Grant,71429.0,2019-01-01,,1.0,['EASME'],001217
000011,Flowtify,Series A,,2019-03-07,TUV SUD,1.0,['TUV SUD'],001224
000012,Golf Post,Seed,200000.0,2019-09-17,,,[''],000000
000013,gridscale,Series A,7000000.0,2019-03-13,"EnBW New Ventures, Endeit Capital",5.0,"['BLSW Seed and Growth Fund', 'EnBW New Ventures', 'Endeit Capital', 'Enjoyventure Management', 'HTGF | High-Tech Gruenderfonds']",000000
000014,InfanDx,Venture - Series Unknown,5300000.0,2019-04-24,"Bamed MAM Group, LSI-Pre-Seed-Fonds GmbH",4.0,"['Arnika Beteiligungen GmbH', 'Bamed MAM Group', 'CVG Capital', 'LSI-Pre-Seed-Fonds GmbH']",000000
000015,medlink,Pre-Seed,120000.0,2019-10-02,EXIST,1.0,['EXIST'],001241
000016,metru,Seed,400000.0,2019-05-01,,,[''],001243
000017,Nannio GmbH,Seed,,2019-07-12,,1.0,['1stMOVER'],001248
000018,niostem,Pre-Seed,90000.0,2019-12-01,Entrepreneur First,1.0,['Entrepreneur First'],001249
000019,NOMOO,Seed,,2019-04-30,,3.0,"['AM1 Ventures', 'Quest Solutions', 'Siltho Research']",001250
000020,RISE Financial Technologies,Venture - Series Unknown,3500000.0,2019-09-05,Mendoza Ventures,2.0,"['coparion', 'Mendoza Ventures']",000000
000021,Silexica,Grant,2000000.0,2019-05-01,,1.0,['EASME'],000000
000022,snabBus,Seed,1000000.0,2019-05-15,STS Ventures,2.0,"['STS Ventures', 'TS Ventures']",001265
000023,SoSafe,Seed,,2019-03-18,,1.0,['Global Founders Capital'],001266
000024,Sugartrends,Seed,750000.0,2019-05-23,,,[''],000000
000025,TechMass,Seed,200000.0,2019-01-02,,1.0,['GELLIFY'],001268
000026,The Good Workshop,Pre-Seed,50000.0,2019-04-01,Thea Vanessa Knight,1.0,['Thea Vanessa Knight'],001269
000027,UBIRCH,Venture - Series Unknown,,2019-04-25,Bauwens Digital,2.0,"['Bauwens Digital', 'SchneiderGolling & Cie – Assekuranzmakler AG']",000000
000028,UNBIND,Pre-Seed,,2019-11-19,,,[''],001271
000029,1NCE,Venture - Series Unknown,,2022-01-26,,1.0,['I Squared Capital'],001191
000030,1NCE,Venture - Series Unknown,,2022-06-08,SoftBank Vision Fund,1.0,['SoftBank Vision Fund'],001191
000031,automaited,Seed,4000000.0,2022-04-28,,4.0,"['Headline', 'Northzone', 'TechVision Fund', 'Visionaries Club']",000000
000032,AYOXXA,Venture - Series Unknown,,2022-03-14,Prosnav Capital,1.0,['Prosnav Capital'],000000
000033,bezahl.de,Seed,5000000.0,2022-02-03,,4.0,"['Marco Schnabl', 'Michael Hock', 'Motive Ventures', 'Wessel Management']",001200
000034,BioEcho Life Sciences,Private Equity,,2022-03-01,Ampersand Capital Partners,1.0,['Ampersand Capital Partners'],001201
000035,bNear,Angel,700000.0,2022-09-29,,1.0,['Flossbach von Storch'],000000
000036,Buynomics,Series A,13000000.0,2022-11-15,Insight Partners,5.0,"['DvH Ventures', 'Insight Partners', 'La Famiglia', 'Seedcamp', 'Tomahawk.VC']",001205
000037,candidate select,Convertible Note,750000.0,2022-01-31,,,[''],001206
000038,catchHR,Seed,,2022-08-25,TechVision Fund,3.0,"['Christian Greb', 'NRW.BANK', 'TechVision Fund']",000000
000039,Cleanz Technologies,Pre-Seed,,2022-12-28,Neuhauss Capital UG,1.0,['Neuhauss Capital UG'],000000
000040,Colonia,Pre-Seed,,2022-12-02,Atlantic Labs,2.0,"['Atlantic Labs', 'Hoyer']",000000
000041,DeepSkill,Pre-Seed,,2022-07-07,HTGF | High-Tech Gruenderfonds,5.0,"['Anna Kaiser', 'Excubate Corporate Startups', 'HTGF | High-Tech Gruenderfonds', 'Ina Schlie', 'Kienbaum Consultants International']",000000
000042,Deutsche Lufthansa,Post-IPO Secondary,,2022-09-14,klaus michael kuehne,1.0,['klaus michael kuehne'],000000
000043,Deutsche Lufthansa,Post-IPO Equity,,2022-07-07,klaus michael kuehne,1.0,['klaus michael kuehne'],000000
000044,Deutsche Lufthansa,Post-IPO Equity,,2022-04-08,klaus michael kuehne,1.0,['klaus michael kuehne'],000000
000045,Dr. Vivien Karl,Pre-Seed,,2022-08-18,,7.0,"['Anne Lemcke', 'better ventures', 'Dörte Kaschdailis', 'Ignore Gravity', 'Pedro Gonçalves', 'Silvia Erika Sommer', 'Stefan Lemcke']",000000
000046,Drop Friends,Pre-Seed,,2022-07-07,,6.0,"['Daniel Matuschewsky', 'Daniel Senft', 'Henry Flack', 'Markus Richter', 'NRW.BANK', 'Randolf Schürmann']",001212
000047,EINHUNDERT Energy,Venture - Series Unknown,,2022-08-16,,1.0,['Triodos Bank'],001214
000048,EINHUNDERT Energy,Series A,6500000.0,2022-02-15,,6.0,"['Clima Now', 'EWE', 'kopa ventures', 'Minol Messtechnik', 'NRW.BANK', 'Übermorgen Ventures']",001214
000049,Evy Solutions,Seed,1600000.0,2022-06-21,,,[''],001219
000050,Fimo Health,Seed,,2022-06-08,"Barmenia Next Strategies, LUMO labs",4.0,"['Barmenia Next Strategies', 'LUMO labs', 'NRW.BANK', 'Rockstart']",001222
000051,Firstwire,Seed,,2022-01-01,,1.0,['Schürfeld Group'],001223
000052,Firstwire,Series A,,2022-04-01,,1.0,['Lakeside Invest & Consult'],001223
000053,foodforecast,Seed,500000.0,2022-06-22,,,[''],001225
000054,Geany,Pre-Seed,190000.0,2022-05-09,Antler,1.0,['Antler'],000000
000055,Guru Granola,Angel,120000.0,2022-09-19,,1.0,['Nils Glagau'],000000
000056,how.fm,Seed,5000000.0,2022-05-26,Join Capital,8.0,"['Andrej Henkler', 'Capnamic Ventures', 'Christopher North', 'François Nuyts', 'Join Capital', 'Kindred Capital', 'Leblon Capital', 'Michael Wax']",001230
000057,JUMiNGO,Series A,,2022-06-01,,5.0,"['Arno Nonnen', 'Equivia Partners', 'neoteq ventures', 'Ryan Hood', 'Tim Schumacher']",001232
000058,JUPUS,Pre-Seed,,2022-01-10,,,[''],000000
000059,Kraftling,Seed,1800000.0,2022-04-14,,1.0,['G-FUND'],001235
000060,krowdz,Pre-Seed,100000.0,2022-11-03,,1.0,['Outlier Ventures'],000000
000061,LIVID,Seed,,2022-09-01,,,[''],000000
000062,MINDZEIT®,Seed,,2022-06-01,,1.0,['Federal Ministry for Economic Affairs and Energy (BMWi)'],001245
000063,mogenius,Pre-Seed,,2022-08-25,STS Ventures,3.0,"['Inovexus', ""Smart Infrastructure Ventures ('SIVentures')"", 'STS Ventures']",000000
000064,Naughty Nuts,Seed,,2022-01-20,,6.0,"['Bela Seebach', 'Bitburger Ventures', 'Döhler Ventures', 'FoodLabs', 'Ole Strohschnieder', 'Philip Kahnis']",000000
000065,Ningaloo Biosystems,Pre-Seed,,2022-06-06,,,[''],000000
000066,niostem,Seed,1700000.0,2022-01-18,Brightlands Venture Partners,1.0,['Brightlands Venture Partners'],001249
000067,Notte Group,Post-IPO Equity,6000000.0,2022-01-01,Sagar Ratilal Bavarva,1.0,['Sagar Ratilal Bavarva'],000000
000068,ONIQ,Seed,3500000.0,2022-07-20,TechVision Fund,2.0,"['coparion', 'TechVision Fund']",000000
000069,Ordio,Pre-Seed,1000000.0,2022-08-17,,8.0,"['Alexander Luik', 'allygatr', 'Elmar Broscheit', 'Fabian Deventer', 'Käfer Capital', 'Nicolas Gabrysch', 'Nils Wilde', 'Tiny VC']",000000
000070,Planted Green,Pre-Seed,1000000.0,2022-06-22,neoteq ventures,8.0,"['Friedrich A. Neuman', 'Jochen Berger', 'Johannes Sass', 'Julius Göllner', 'Lucas von Fürstenberg', 'neoteq ventures', 'Rivus Capital', ""Smart Infrastructure Ventures ('SIVentures')""]",000000
000071,Prematch,Seed,1700000.0,2022-06-15,,8.0,"['Daniel Delonga', 'Felix Krause', 'Florian Fritsche', 'Hannes Winzer', 'Jörg Kattner', 'Marcus Erken', 'Ralf Reichert', 'Thorsten Wirth']",000000
000072,PROSION,Seed,,2022-05-01,,1.0,['Freigeist Capital'],000000
000073,PyroCCS,Pre-Seed,1500000.0,2022-12-01,,,[''],000000
000074,Sastrify,Series A,13000000.0,2022-01-13,FirstMark,5.0,"['FirstMark', 'Gokul Rajaram', 'HV Capital', 'Jeff Titterton', 'TS Ventures']",000000
000075,shareDnC,Venture - Series Unknown,,2022-05-18,,2.0,"['BitStone Capital', 'HRS']",001264
000076,SK Gaming,Seed,,2022-02-04,,1.0,['Rewe Group'],000000
000077,SoSafe,Series B,73000000.0,2022-01-13,Highland Europe,6.0,"['Acton Capital', 'Carsten Thoma', 'Christian Henschel', 'Global Founders Capital', 'Highland Europe', 'La Famiglia']",001266
000078,straede,Angel,,2022-03-23,,1.0,['Simon Staib'],000000
000079,Sugartrends,Series A,250000.0,2022-09-10,,1.0,['Newchip Accelerator'],000000
000080,Sunvigo,Series A,10000000.0,2022-02-08,"Eneco Ventures, Sparta Capital",5.0,"['Ecosummit', 'Eneco Ventures', 'HTGF | High-Tech Gruenderfonds', 'Sparta Capital', 'Übermorgen Ventures']",000000
000081,tl;dv,Seed,4300000.0,2022-06-16,K Fund,6.0,"['another.vc', 'K Fund', 'MSM', 'Oscar Pierre', 'Seedcamp', 'Shilling']",000000
000082,vamos!,Pre-Seed,,2022-02-12,Marcel Bößendörfer,1.0,['Marcel Bößendörfer'],000000
000083,Vytal,Series A,10000000.0,2022-03-14,Grazia Equity,6.0,"['Flixfounders', 'Grazia Equity', 'IP Group', 'Kiko Ventures', 'Lawrence Leuschner', 'Rubio Impact Ventures']",001273
000084,WETHEBRANDS (WTB),Series A,15000000.0,2022-04-19,,,[''],000000
000085,Zero-Carbon GmbH,Seed,50000.0,2022-07-01,,,[''],001278
000086,3YOURMIND,Series A,5500000.0,2020-09-07,EnBW New Ventures,5.0,"['AM Ventures', 'coparion', 'EnBW New Ventures', 'TRUMPF Venture', 'UVC Partners']",000000
000087,7Learnings,Seed,,2020-06-26,,2.0,"['Elmar Broscheit', 'HTGF | High-Tech Gruenderfonds']",000305
000088,Acapela,Seed,3000000.0,2020-10-22,Visionaries Club,3.0,"['Christian Reber', 'Taavet Hinrikus', 'Visionaries Club']",000000
000089,Actio,Seed,8500000.0,2020-12-16,"Cavalry Ventures, HV Capital",13.0,"['Cavalry Ventures', 'Discovery Ventures', 'Doreen Huber', 'Fabian Siegel', 'Heal Capital', 'HV Capital', 'Jan Deepen', 'Karl Moritz Hermann', 'Marcel Doeppes', 'Stefan Jeschonnek', 'Tassilo Ippenberger', 'Thomas Benedix', 'Udo Schloemer']",000312
000090,Adrenomed,Series E,22200000.0,2020-11-30,"HBM Healthcare Investments, Wellington Partners",2.0,"['HBM Healthcare Investments', 'Wellington Partners']",000000
000091,Adrenomed,Series D,1414581.0,2020-05-06,,1.0,['HBM Healthcare Investments'],000000
000092,Adrenomed,Convertible Note,1500000.0,2020-06-17,,1.0,['HBM Healthcare Investments'],000000
000093,Advanced Blockchain,Seed,,2020-01-20,,1.0,['Florian Reike'],000314
000094,Agranimo,Seed,2380840.0,2020-06-30,,,[''],000319
000095,Aignostics,Seed,5000000.0,2020-08-28,Boehringer Ingelheim Venture Fund,4.0,"['Boehringer Ingelheim Venture Fund', 'Future Capital', 'HTGF | High-Tech Gruenderfonds', 'IBB Ventures']",000323
000096,Airfarm,Seed,,2020-10-08,,1.0,['Tet Ventures'],000325
000097,Airteam Aerial Intelligence,Grant,950000.0,2020-07-23,,1.0,['IBB Ventures'],000328
000098,Airteam Aerial Intelligence,Grant,150000.0,2020-04-21,,1.0,['Karlsruhe Institute of Technology'],000328
000099,AIVITEX,Pre-Seed,,2020-11-30,,,[''],000000
000100,Aivy,Pre-Seed,500000.0,2020-05-10,,,[''],000000
000101,Amie,Pre-Seed,1300000.0,2020-07-09,Creandum,7.0,"['Creandum', 'Laura Grimmelmann', 'Nicolas Kopp', 'Roland Grenke', 'Sven Ahrens', 'Tiny VC', 'Zach Smith']",000000
000102,Anytype,Seed,1200000.0,2020-03-12,,12.0,"['Acequia Capital (AceCap)', 'Alex MacCaw', 'AltaIR Capital', 'Ash Egan', 'Charlie Songhurst', 'Declan Kelly', 'Jag Singh', 'Jeremy Yap', 'Jesse Clayburgh', 's16vc', 'System.One', 'Tiny VC']",000340
000103,Anytype,Seed,,2020-11-19,,,[''],000340
000104,Anytype,Seed,,2020-02-21,,,[''],000340
000105,Apheris,Seed,2500000.0,2020-08-20,LocalGlobe,8.0,"['another.vc', 'Charlie Songhurst', 'Dig Ventures', 'Ian Hogarth', 'LocalGlobe', 'Patrick Pichette', 'System.One', 'Torsten Reil']",000341
000106,Apryl,Pre-Seed,,2020-04-10,Atlantic Labs,1.0,['Atlantic Labs'],000342
000107,AreaOne,Pre-Seed,96000.0,2020-09-01,,,[''],000000
000108,Atmo Home,Pre-Seed,,2020-12-05,,1.0,['SCNE'],000349
000109,AtomLeap,Seed,,2020-04-23,,1.0,['CIMEDO'],000350
000110,AUCTA,Pre-Seed,500000.0,2020-12-12,IBB Ventures,2.0,"['APX', 'IBB Ventures']",000351
000111,AUCTA,Pre-Seed,50000.0,2020-04-01,APX,1.0,['APX'],000351
000112,auticon,Venture - Series Unknown,2950000.0,2020-08-06,Ferst Capital Partners - FCP,1.0,['Ferst Capital Partners - FCP'],000000
000113,AUTO1 Group,Convertible Note,255000000.0,2020-07-30,"Farallon Capital Management, The Baupost Group",3.0,"['Farallon Capital Management', 'SoftBank Vision Fund', 'The Baupost Group']",000000
000114,AVE + EDAM,Seed,,2020-04-17,,2.0,"['Joyance Partners', 'Social Starts']",000358
000115,Back,Seed,3300000.0,2020-06-18,La Famiglia,7.0,"['Charlie Songhurst', 'Gradient', 'La Famiglia', 'Matthias Hilpert', 'Point Nine', 'Renaud Visage', 'Seedcamp']",000362
000116,Basaas - Enterprise Productivity Hub,Seed,450000.0,2020-07-30,,,[''],000000
000117,BaxBeauty,Private Equity,,2020-04-03,,,[''],000000
000118,Bayes Holding,Venture - Series Unknown,6000000.0,2020-09-16,,3.0,"['Fertitta Capital', 'Pohlad Family Investment Group', 'Sony Innovation Fund']",000000
000119,BEAD Technology,Convertible Note,25000.0,2020-03-02,,1.0,['Startupbootcamp Australia'],000367
000120,Beazy,Pre-Seed,82500.0,2020-05-01,,,[''],000369
000121,Beelinguapp,Pre-Seed,,2020-01-27,Techstars,1.0,['Techstars'],000371
000122,Beelinguapp,Pre-Seed,1100000.0,2020-09-29,,3.0,"['EquityPitcher Ventures', 'Joyance Partners', 'Techstars']",000371
000123,BERLIN GREEN,Seed,,2020-02-01,NCA,1.0,['NCA'],000378
000124,Bernstein Group,Pre-Seed,,2020-10-16,,1.0,['Lepi Ventures'],000000
000125,Betteries,Seed,,2020-04-11,,1.0,['KIMPA - Impact Investing'],000384
000126,BidFlat48,Pre-Seed,100000.0,2020-04-02,FasterCapital,3.0,"['Bashar Hamood', 'FasterCapital', 'Hesham Zreik']",000000
000127,Bliq,Seed,2000000.0,2020-11-17,"Amplifier, Atlantic Labs, Space Capital",6.0,"['Amplifier', 'Andreas Kupke', 'Atlantic Labs', 'Proeza Ventures', 'Revel Partners', 'Space Capital']",000388
000128,Blue Farm,Convertible Note,1000000.0,2020-10-20,,1.0,['Joyance Partners'],000000
000129,BOCAhealthcare GmbH,Grant,50000.0,2020-06-19,,1.0,['EIT Health'],000391
000130,bookingkit,Series D,5000000.0,2020-09-08,,4.0,"['HTGF | High-Tech Gruenderfonds', 'Intermedia Venture', 'Müller Medien', 'Robert André Kabs']",000000
000131,Booster Therapeutics,Seed,,2020-08-27,,1.0,['Infinitas Capital'],000000
000132,Breakthrough,Convertible Note,,2020-01-09,,1.0,['Social Starts'],000399
000133,BRYTER,Series A,16000000.0,2020-06-04,"Accel, Dawn Capital",5.0,"['Accel', 'Cavalry Ventures', 'Dawn Capital', 'Mike Chalfen', 'Notion Capital']",000401
000134,Buena,Series A,11000000.0,2020-01-21,"Capnamic Ventures, EQT Ventures",4.0,"['Capnamic Ventures', 'EQT Ventures', 'FJ Labs', 'redalpine']",000403
000135,Cambrium,Seed,,2020-08-18,Merantix Capital,1.0,['Merantix Capital'],000000
000136,CANDIS,Series B,12000000.0,2020-07-30,"Rabo Frontier Ventures, Viola Ventures",6.0,"['42CAP', 'Lightspeed Venture Partners', 'Point Nine', 'Rabo Frontier Ventures', 'Speedinvest', 'Viola Ventures']",000409
000137,Canostix,Pre-Seed,,2020-08-05,,,[''],000410
000138,cargo.one,Series B,42000000.0,2020-12-17,Bessemer Venture Partners,5.0,"['Bessemer Venture Partners', 'Creandum', 'Index Ventures', 'Next47', 'Point Nine']",000414
000139,cargo.one,Series A,18600000.0,2020-07-27,Index Ventures,7.0,"['Carlos Gonzalez-Cadenas', 'Creandum', 'Index Ventures', 'Lufthansa Cargo', 'Next47', 'Point Nine', 'Tom Stafford']",000414
000140,CarOnSale,Series A,15000000.0,2020-11-02,Insight Partners,3.0,"['FJ Labs', 'Flixfounders', 'Insight Partners']",000416
000141,Caspar Health,Series A,5300000.0,2020-01-17,Ananda Impact Ventures,4.0,"['Ananda Impact Ventures', 'Atlantic Labs', 'Helmut Nanz', 'Think.Health']",000418
000142,Caya,Seed,2500000.0,2020-04-22,Müller Medien,4.0,"['DFF Ventures', 'HV Capital', 'IBB Ventures', 'Müller Medien']",000419
000143,Chainflip,Pre-Seed,3810000.0,2020-12-25,"Blockchain Capital, Digital Asset Capital Management",2.0,"['Blockchain Capital', 'Digital Asset Capital Management']",000000
000144,CHAINWISE Group,Seed,,2020-11-24,"EOS VC Fund, Volksbank Mittweida eG",4.0,"['Block.one', 'EOS VC Fund', 'FinLab', 'Volksbank Mittweida eG']",000422
000145,charles,Seed,1000000.0,2020-12-09,,3.0,"['Alexander Graf', 'Tarek Muller', 'Venista Ventures']",000423
000146,Checkly,Seed,2250000.0,2020-04-28,Accel,9.0,"['Accel', 'Charles Ramsey', 'Christian Henschel', 'Guillermo Rauch', 'Mirko Novakovic', 'Ott Kaukver', 'Paul Müller', 'Philipp Moehring', 'Robin Vasan']",000426
000147,ChipsTV,Pre-Seed,,2020-01-31,Loyal VC,1.0,['Loyal VC'],000000
000148,ChipsTV,Grant,,2020-09-15,IBB Ventures,1.0,['IBB Ventures'],000000
000149,Choco,Series A,30200000.0,2020-04-15,Coatue,7.0,"['Atlantic Labs', 'Bessemer Venture Partners', 'Christian Edler', 'Coatue', 'Greyhound Capital', 'Target Global', 'Visionaries Club']",000427
000150,Cinference,Pre-Seed,,2020-12-30,Entrepreneur First,1.0,['Entrepreneur First'],000000
000151,Circles,Pre-Seed,,2020-10-01,,1.0,['BFF Berlin Founders Fund'],000428
000152,Cleanlight Technology,Private Equity,,2020-06-01,,,[''],000000
000153,cleverly.de,Pre-Seed,,2020-12-22,,1.0,['JALE Beteiligungs GmbH'],000000
000154,CloudRadar,Seed,1000000.0,2020-07-01,,,[''],000437
000155,clous,Grant,500000.0,2020-10-01,,1.0,['Investitionsbank Berlin'],000000
000156,clous,Convertible Note,50000.0,2020-06-01,,1.0,['APX'],000000
000157,CoachHub,Series B,25000000.0,2020-12-16,Molten Ventures,6.0,"['HV Capital', 'Molten Ventures', 'Partech', 'RTP Global', 'Signals Venture Capital', 'Speedinvest']",000440
000158,Compa,Pre-Seed,,2020-03-01,Atlantic Labs,1.0,['Atlantic Labs'],000000
000159,Compa,Seed,,2020-12-01,LocalGlobe,11.0,"['André M. Bajorat', 'Atlantic Labs', 'Carlos Gonzalez-Cadenas', 'Frank Strauss', 'Harsh Sinha', 'Jan Deepen', 'LocalGlobe', 'Matt Robinson', 'Stefan Jeschonnek', 'Victor Jacobsson', 'Will Neale']",000000
000160,Comtravo,Series B,9000000.0,2020-01-13,,2.0,"['Joop Drechsel', ""M12 - Microsoft's Venture Fund""]",000000
000161,Concular,Pre-Seed,400000.0,2020-05-04,,,[''],000000
000162,conductiv.ai,Seed,,2020-06-04,,1.0,['Bossa Invest'],000449
000163,Construyo,Seed,2000000.0,2020-05-12,Talis Capital,1.0,['Talis Capital'],000451
000164,Contentflow,Grant,2500000.0,2020-06-08,,1.0,['European Innovation Council'],000452
000165,Contentful,Series E,80000000.0,2020-06-17,Sapphire Ventures,7.0,"['Benchmark', 'Four Rivers Group', 'General Catalyst', 'OMERS Ventures', 'Salesforce Ventures', 'Sapphire Ventures', 'Wittington Ventures']",000000
000166,COOKO,Pre-Seed,2000.0,2020-07-01,,,[''],000000
000167,COOKO,Pre-Seed,2000.0,2020-01-19,,,[''],000000
000168,CoolBeez,Pre-Seed,64000.0,2020-12-01,,,[''],000454
000169,CooperHire,Pre-Seed,,2020-04-04,,1.0,['APX'],000000
000170,CrossEngage,Venture - Series Unknown,6500000.0,2020-09-24,,7.0,"['Benjamin Schroeter', 'Earlybird Venture Capital', 'IBB Ventures', 'Project A Ventures', 'Target Partners', 'Teja Topfer', 'Vorwerk Ventures']",000000
000171,Culcha,Pre-Seed,,2020-02-01,,1.0,['True Growth Capital'],000464
000172,CYCLE,Pre-Seed,120000.0,2020-01-27,Techstars,1.0,['Techstars'],000466
000173,CYCLE,Seed,600000.0,2020-11-01,Techstars,1.0,['Techstars'],000466
000174,Dance,Seed,4000000.0,2020-07-21,"Atlantic Labs, La Famiglia",2.0,"['Atlantic Labs', 'La Famiglia']",000000
000175,Dance,Series A,15000000.0,2020-10-22,HV Capital,1.0,['HV Capital'],000000
000176,DeepSpin,Seed,600000.0,2020-06-30,APEX Ventures,5.0,"['11k Ventures', 'APEX Ventures', 'Christian Dahlen', 'Entrepreneur First', 'SOSV']",000474
000177,DeepSpin,Seed,275000.0,2020-03-12,,3.0,"['Entrepreneur First', 'HAX', 'SOSV']",000474
000178,deineStudienfinanzierung,Seed,,2020-11-20,finleap,1.0,['finleap'],000478
000179,Delivery Hero,Post-IPO Debt,2300000000.0,2020-01-17,,,[''],000000
000180,delphai,Seed,,2020-04-23,,1.0,['CIMEDO'],000000
000181,Deutsche Fintech Solutions GmbH,Venture - Series Unknown,,2020-04-01,,2.0,"['Deutsche Vermögensberatung AG', 'finleap']",000482
000182,DiaMonTech AG,Grant,400000.0,2020-03-10,Pro FIT – project financing,1.0,['Pro FIT – project financing'],000484
000183,DIDIT,Pre-Seed,2000000.0,2020-02-15,Hevella Capital,5.0,"['Benedikt Franke', 'Florian Leibert', 'Hevella Capital', 'IBB Ventures', 'Julian Dames']",000000
000184,digitty.io,Seed,1500000.0,2020-07-10,,,[''],000485
000185,DiscoEat,Seed,,2020-02-15,Hevella Capital,5.0,"['Benedikt Franke', 'Florian Leibert', 'Hevella Capital', 'IBB Ventures', 'Julian Dames']",000487
000186,Dive,Pre-Seed,,2020-09-25,,1.0,['First Momentum Ventures'],000489
000187,Dive platform GMBH,Pre-Seed,200000.0,2020-04-01,,,[''],000000
000188,DIZZBO,Seed,1780000.0,2020-12-03,,4.0,"['BIG PICTURE Venture Capital GmbH', 'Christian Fürstaller', 'Klaus Hrazdira', 'Rodolphe Schoettel']",000490
000189,Doc Cirrus,Venture - Series Unknown,,2020-10-01,,,[''],000000
000190,doctorly,Convertible Note,,2020-06-10,,1.0,['Plug and Play'],000491
000191,doctorly,Seed,5000000.0,2020-06-12,Speedinvest,8.0,"['Calm/Storm Ventures', 'Force Ventures', 'Kinled Holding', 'Seedcamp', 'Speedinvest', 'Target Global', 'The Delta', 'UNIQA Ventures']",000491
000192,DoctorYou,Pre-Seed,75000.0,2020-12-31,,2.0,"['APX', 'Maikel Stevens']",000000
000193,Dogo GmbH,Pre-Seed,180000.0,2020-02-10,,3.0,"['Leap Venture Studio', 'Michelson Impact Ventures', 'R/GA Ventures']",000492
000194,Doozer,Venture - Series Unknown,,2020-12-15,"BitStone Capital, FMC Beteiligungs",2.0,"['BitStone Capital', 'FMC Beteiligungs']",000000
000195,Dryad Networks,Seed,1800000.0,2020-10-06,Investitionsbank des Landes Brandenburg,2.0,"['Investitionsbank des Landes Brandenburg', 'STIHL Ventures']",000000
000196,Ecola Climo,Pre-Seed,,2020-06-01,,,[''],000000
000197,ecoworks,Seed,5132785.0,2020-04-09,,9.0,"['Alexander Ljung', 'ALP.X Group', 'Christian Vollmann', 'Eric Quidenus-Wahlforss', 'Klaus Freiberg', 'kopa ventures', 'Nicholas Neerpasch', 'PT1', 'Torben Schreiter']",000499
000198,Edkimo,Seed,250000.0,2020-10-13,,,[''],000501
000199,Elara,Seed,,2020-11-05,,1.0,['Beam'],000000
000200,ELEMENT Insurance,Series A,10000000.0,2020-08-19,Sony Financial Ventures,5.0,"['finleap', 'Global Brain Corporation', 'SBI Investment', 'Sony Financial Ventures', 'Versorgungswerk Zahnärztekammer Berlin']",000504
000201,Elucidate,Seed,2500000.0,2020-06-22,11.2 Capital,5.0,"['11.2 Capital', 'APEX Ventures', 'Banco de Investimento Global', 'Seed X Liechtenstein', 'SixThirty']",000507
000202,Elysium Game Studio,Grant,199969.0,2020-12-01,Federal Ministry of Transport and Digital Infrastructure,1.0,['Federal Ministry of Transport and Digital Infrastructure'],000508
000203,Elysium Game Studio,Grant,50000.0,2020-12-10,,,[''],000508
000204,EMIL Group,Seed,,2020-10-06,,1.0,['10x Value Partners'],000509
000205,emlen,Pre-Seed,1200000.0,2020-08-15,,,[''],000000
000206,emmy,Series C,,2020-12-16,,2.0,"['BonVenture', 'IBB Ventures']",000510
000207,Enapter,Series B,5300000.0,2020-03-01,,,[''],000511
000208,Endel,Series A,5000000.0,2020-09-23,True Ventures,8.0,"['Amazon Alexa Fund', 'Impulse VC', 'Plus Eight Equity Fund LP', 'Supermoon Capital', 'Target Global', 'Techstars', 'True Ventures', 'Waverley Capital']",000512
000209,Endodont,Seed,,2020-05-07,,1.0,['Think.Health'],000513
000210,EnergyLabs,Pre-Seed,,2020-10-20,,,[''],000000
000211,Enpal,Venture - Series Unknown,,2020-11-06,"David Schneider, Robert Gentz, Rubin Ritter",3.0,"['David Schneider', 'Robert Gentz', 'Rubin Ritter']",000516
000212,Enpal,Venture - Series Unknown,,2020-11-11,Princeville Capital,1.0,['Princeville Capital'],000516
000213,EqualTo,Pre-Seed,500000.0,2020-06-08,,,[''],000000
000214,ERIC Opportunity Club,Seed,,2020-12-08,,,[''],000000
000215,Estating,Pre-Seed,,2020-08-14,,,[''],000000
000216,Estating,Seed,,2020-12-30,Gauss Ventures,4.0,"['Estating Ecosystem Investors (12)', 'Estating Seed Investors (8)', 'Gauss Ventures', 'tokentus investment AG']",000000
000217,Evercity,Grant,20000.0,2020-10-10,,1.0,['Web3 Foundation'],000523
